date,content
2021,"Excited about this upcoming event! Choosing plant based foods more often means lower emissions! Raising livestock requires more land, water and resources compared to plant based protein. It’s also better for our personal health to eat less meat and more plants! https://t.co/X4tzomJt07"
2021,Meet 3 Plant-Based Chefs Shaking Up The Food Scene https://t.co/CjzZTYUacE
2021,@WatchSavannah GREAT segment on @3rdHourTODAY ! Love the feature on Women Chefs under 30 with innovative plant based food! Thank you @EaterNY and Ravi DeRossi’s Overthrow Hospitality! @alroker and @SheinelleJones GREAT JOB! https://t.co/tHie3QUvvQ
2021,Oxford food experts work with Tesco on sustainable plant-based meals https://t.co/HPEMPlnH65
2021,I'm on my period and in need of fried vegan comfort food but Eastern Washington isn't exactly a big market for plant based anything 😭 https://t.co/AnHqDZxZAN
2021,5) the convenience of pre-made ingredients has become a huge inconvenience for the climate and our pockets. From meat industry to the Plant based factory made foods.
2021,"California company @shiruinc, which received $17M in its latest funding round, uses advanced biotechnology, chemical engineering and fermentation to replicate the functional proteins in animal-based food using the plant kingdom.
https://t.co/TZUltjfKmn"
2021,"Dairy products are a rich source of calcium. If your diet does not include dairy products, calcium can be obtained from plant-based foods. @eatright

https://t.co/nYrIhx0Ena"
2021,Studies have shown that plant-based foods have much less of a negative climate impact compared to meat and animal products. Animal agriculture is both unethical and unsustainable. Learn more about the way animal products negatively impact the planet: https://t.co/jEyjxDmDLv https://t.co/ouNz4lV6cv
2021,"Want to improve and future-proof your production for enjoyable and safe foods in #sustainable packaging? 

Join us tomorrow to gain insights into the trends driving #milk and plant-based beverage PET packaging innovation.

Register: https://t.co/2IV3np2nra https://t.co/Z7Yi5bxxU5"
2021,@11Firestar They are helping to push plant based foods - which is part of the agenda.  Probably a new Gov. backed 'activist' group!
2021,"Q&amp;A: @bryantterry dishes on his new book, ""Black Food,"" plant-based eating and where he finds inspiration https://t.co/qlJEVZpiu9"
2021,"@soulphoodie, check this out: Bryant Terry on ‘Black Food,’ plant-based eating and where he finds inspiration https://t.co/ZcnAs8GVMl"
2021,"Canadian vertically integrated plant-based company Above Food's acquisition of @AtlanticNatural can help lead it to new customers, especially in the United States.
https://t.co/NwPFO6PQHk"
2021,"CLARITY:  Bits of poorly digested vegetable matter are a normal and healthy sign of a plant-based diet, although some inflammatory conditions can also cause an increase in undigested food particles in the stool."
2021,"Diets and food fads are trillion dollar business. 

I’ve read it over a hundred peer-reviewed articles in medical and science journals. 

The sum of most the evidence-based research is this—

Don’t eat late at night. Eat mostly plants."
2021,Oh no! @ImpossibleFoods doesn't have online ordering anymore! 😥😥 #plantbasedfood #mondaythoughts
2021,"@USWeatherExpert Good question, Mike. They shouldn’t exist because we can much more efficiently feed 7.9 billion people with plant-based food due to its significant lower demand on resources. Much more efficient to feed plants directly to people rather than: plant —&gt; animals —&gt; people."
2021,@EdwardesJulli It would be best for animals (and all of us) if animals weren't farmed at all. Plant-based food is the direction we need to (continue) heading.
2021,One in every four people are consciously choosing plant-based foods and the plant-based food industry is expected to grow by almost 12 percent to $74 billion by 2027. https://t.co/oEyHmps8ZW by @69News
2021,The Food Industry’s Latest Plant-Based Deal Is A Regenerative Mike Drop In The Face Of Big Food https://t.co/cj7reSnloM
2021,The Food Industry’s Latest Plant-Based Deal Is A Regenerative Mike Drop In The Face Of Big Food https://t.co/rn7PW5iIDp
2021,"@ErikaU0525 BTW switching from butter to plant based margarine is better for you weight wise but also cholesterol wise. Choose good fats over bad fats. Fruits, veggies - even if the ones you like are limited. Remember to eat GOOD foods you enjoy - you won't feel like you're denying yourself."
2021,@jessfanzo @NatureMedicine Healthy plant-based foods for the win! 👏 thanks for sharing.
2021,Both plant-based and animal-source foods that are unprocessed or healthily processed are nutritious and can be produced sustainably. Plants and animals are synergistic and should be used together to support human and environmental health through diverse diets and agroecosystems.
2021,"Orange tofu. With broccoli, rice, and spinach. #plantbasedfood #homemade https://t.co/gfvSnxsXbf"
2021,Can Urban Food Incubators Accelerate Adoption of Plant-Based Diets? https://t.co/AWdlCB6qu0
2021,"We’re thrilled to be backing @grounded_foods in their mission to produce delicious, high-quality, plant-based cheeses!

https://t.co/GKSJPPLXzz"
2021,"The #Baltimore-based, Detroit-style pizza maker with a brick-and-mortar at Power Plant Live is on track to add three new storefronts in the coming months.

#restaurants #food  https://t.co/Ce16upl2sP"
2021,"Want to improve and future-proof your production for enjoyable and safe foods in #sustainable packaging? 

Join us next week to gain insights into the trends driving #milk and plant-based beverage PET packaging innovation.

Register: https://t.co/2IV3np2nra https://t.co/E4aPAwUnL7"
2021,"Halloween is one of my FAVORITE times of year! My kids LOVE the spooky and delicious treats all October long.

Have some fun with your food this Halloween season with these plant-based recipes for ghosts, spiders, monster and MORE: https://t.co/QEE9wrmTdS https://t.co/qOIECzrphD"
2021,Kerry Releases Plant-based Dairy Alternative Toolkit for Emerging Food and Beverage Opportunities https://t.co/YzJIcA713u
2021,"Plant-Based Food &amp; Beverages Alternatives Market Investment Opportunities, Market Share &amp; Trend Analysis Report to 2027 https://t.co/3TOspDqMlL"
2021,"Shout out to my friends for always looking out for me. My tummy hasn't been my friend lately so they brought me some plant based food and ginger tea🥺

Yall are appreciated @BPPLZ @onceuponapast_ 🌻♥️ https://t.co/BbboCmu0mD"
2021,"Sharing time in the field with Billy and the team. Awesome to see their next gen of step change varieties coming through. 👏 

@BensonHillInc #plantbasedfood #innovation https://t.co/P0WxbeF14G"
2021,Same sis. I woulda just left. 35000 for plant based food. Got me all the way fucked up https://t.co/vjFkF9GAy1
2021,"My friends @BPPLZ and @onceuponapast_ are vending at the farmers market in downtown Baltimore today! Make you stop by and get some tasty plant based treats from them! 

They will be in the lot where a lot of the food vendors are including SoBeachy"
2021,It’s so annoying when ppl think imma do trades for my products.. bitch my work takes longer than your meals.. it’s not the same.. then I’m Plant based food not even shit I can eat😑
2021,"Ate Chinese food, wings, and alot of alcohol this weekend.  Mental refeed.  Drying out in September (no alcohol), plant-based, or fried foods ( only plantain).  I start a week before the month begins to allow room for error"
2021,"Sushi made from tomatoes. Plant-based shrimp. #FauxFish is coming for the multibillion-dollar seafood market.

Subway should have leaned into this!

https://t.co/YumCrONhnR #Food #Foodie #Foodies #Startup #Startups #FancyFood"
2021,"Introducing our first black plant based chef for the Return 2 Nature Wellness Retreat. Had to try before I book 👌🏾

K. Beans has an inspiring story and even tastier food. This was ALL alkaline. More footage otw 🎥

Follow k.beans on ig to learn more and try some delicious food 🙏🏾 https://t.co/X4nApGAsZP"
2021,"Agriculture is responsible for more than a quarter of global greenhouse gas emissions, making food production a major contributor to the climate crisis.The carbon footprint for animal-based foods is higher than for plant based food,mostly due to the consequences of deforestation."
2021,Black owned plant 🌱 based  food spot in Capitol heights their smoothies on point https://t.co/x7mxfzR5Vc
2021,"GreenFare Organic Cafe is @ Reston Farmers Market @ Lake Anne Plaza 8am till Noon TODAY! Be sure to stop by and say ""Hi!"" + TREAT YOURSELF to some DELICIOUS Plant Based Food That Your Body CRAVES!! https://t.co/RACN5818at"
2021,"Mushroom and spinach pesto w/ homemade Tuscan garlic toast. 

#plantbased #plantbasedrecipes #plantbasedfood #plantbasedmeals #plantbasedfoodie #homemade #traderjoesrecipes @ Washington D.C. https://t.co/5RJgsvsEDX"
2021,"GreenFare Organic Cafe is @ Reston Farmers Market @ Lake Anne Plaza 8am till Noon TODAY! Be sure to stop by and say ""Hi!"" + TREAT YOURSELF to some DELICIOUS Plant Based Food That Your Body CRAVES!!! @greenfarecafe https://t.co/xk1gFE1wuV"
2021,"Fish(less) Friday courtesy of @gardein I will definitely be getting these again because they were AMAZING! 🤤

#vegan #veganrecipes #veganfood #veganmeal #plantbased #plantbasedrecipes #plantbasedfood #plantbasedmeal https://t.co/zWZ7yA0Amj"
