date,content
2021,"Some #plantbased sources of #calcium that may help  improve #guthealth, nutrient #absorption and reduce #inflammation while boosting your #ImmuneSystem. 
🥦🥕🟠🍠🧘‍♂️
#poweredbyplants #plantbasedfood #vitamins #NutritiousFood https://t.co/5c4rbJYvrJ"
2021,Whoever decided to define “plant based food” as a category that excludes beef did not understand the first thing about where beef comes from.
2021,"If you are struggling with chronic illness, including chronic pain, headaches, and/or arthritis, I suggest considering a whole foods, plant-based diet. See how you feel, see if it moves the needle. Just see. #NurseTwitter #MedTwitter https://t.co/ooJwN0U7nL"
2021,"As a vegetarian for two decades who has begged MLB for more plant-based food options in ballparks, I can't believe bullpens are the issue PETA is focusing on. 

Some thoughts:
https://t.co/MuC4UHCmae"
2021,"#KNOWLEDGETRANSFERMACHINES...IS MY OTHER AREA...for ""THE"" GIG! Let me reiterate! Be ""Comfortable"" w/ the CHANGE! MY #GRASSYFARMLANDS ""BREAKTHROUGHS"" Take note/s...OK w/ me! Less meat...more plant-based meat...Food ""recycling""...relevant to BASEMENT DEFENSE! ""AND"" KTM! VERITAS!"
2021,"Animal rights activists point to food waste, animal suffering, and health-associated costs as reasons to divest money away from the egg industry to support companies that produce plant-based alternatives. (From the Undark archives)

https://t.co/idh1HAFNFw"
2021,"How much food tech is too much?

""Zemea® USP-FCC propanediol is a 100% plant-based alternative to petroleum-based glycols. Used as a flavor carrier, processing aid and humectant, this ingredient is well suited for a variety of food and flavor applications""
https://t.co/TQWb1n6xUX"
2021,"WFPB = whole food plant based
This is a healthy eating pattern that emphasizes vegetables, fruit, nuts, seeds, and legumes. These plants have phytonutrients, vitamins and minerals which makes them nutrient-dense. They are nutritious and delicious! #diet #nutrition #Health https://t.co/T7Lzzsq1uN"
2021,"Are you focused on adding more real, plant-based foods to your diet? Our 100% organically grown chlorella tablets have no additives and are loaded with over 40 vitamins, minerals, protein, and more. What's better? A single handful covers almost all of your nutrients for the day🙌 https://t.co/uqr9Pa1ctm"
2021,"Found a mini crock pot and made this veggie delight 🥒🫑🧅🍄
#plantbasedfood #plantbased https://t.co/C0ixvFTLhc"
2021,@VeggieGuides @COP26 @Plant_Treaty Very familiar with Glasgow. Worked with many amazing plant based producers when I was consulting for Scottish Enterprise/Scotland Food and Bev!
2021,i cooked two really great whole food plant based meals today but now i’m super high like yeah i should pick up tacos
2021,"Kerry @WeAreKerry Releases Plant-based Dairy Alternative Toolkit for Emerging Food and Beverage Opportunities
https://t.co/A4uRzHIJe0"
2021,@JennaPie And then I like plant-based chicken nuggets from Whole Foods or anywhere
2021,Healthy plant-based foods may lower COVID-19 risk and severity! Latest results from MGH colleagues! https://t.co/K4ZtttUTN8
2021,@AshleyAlready Whole foods has these plant-based chicken fajita burritos they are so good you can’t even tell the difference
2021,"For people who are tired of “plant-based” nonsense and want real answers to food and climate, please join the Soil4Climate FB group. That’s where the action is. We focus on helpful topics, like, um, reality. See you there.  https://t.co/OpHOMfC7pt"
2021,Every time u turn around my fav plant-based food is sold out …… https://t.co/Z5z0pD4Gw6
2021,Whole Foods plant based exclusive forever! #wfpb #vegan https://t.co/A9oZcxhWq1
2021,@sabrinatranwtch Whole foods has the best plant-based chicken fajita burritos the 365 brand
2021,"I'm always excited to read about stuff like this, alternative sourcing for ethically fraught luxury foods. It seems to me that lab-based meat has a higher luxury value than plant-based foods but can't put my finger on why, exactly. https://t.co/tcoT84fldG"
2021,🙏🙏🙏 @MinuteEarth Thank you guys for explaining this! #plantbasedfood #Sustainability #ClimateAction  🌱 https://t.co/XCZHfSjxoD
2021,🍅❤️ #plantbasedfood https://t.co/svz2He09bi
2021,@davidaxelrod If he was here he would know we have plant based food now which some call meat I call it plant!  Words can mean many things to different people!
2021,Me and my Homegirl are going plant based for #BlackHistoryMonth and my food been banging for the past 4 days 🌱 #TikTok is CiaraShanta 😌 https://t.co/1s4IR65I4E
2021,as an 8 year vegan i do not claim nor like vegans who reject popular chains introducing plant based options. i am aware we should support small businesses and 100% vegan businesses but making vegan food widely accessible is the most important thing for the movement.
2021,Plant based food is yummy.
2021,@YOUWONTBELAFFIN @rondeaulivia The Biden/ Harris regime will be promoting vegan/vegetarian/plant based food.
2020,"Meat industry and their fear of the growth of plant based food category 
#plantbased https://t.co/ahB9tucNcL"
2020,Slowly been transitioning over to veggie &amp; plant based meatless foods. Idk if I’m ready to give up fish though.
2020,Me trying to be more plant based with my food Lmaoooooo https://t.co/IvstMJsZ2q
2020,"FYI: plant based diet, is exactly what it says. Plant BASED. Doesn’t mean you don’t eat nothing else.

Just means majority of your food source comes from plants. You can still have meat if you choose to, without shame. Don’t let pop culture force you into a box!"
2020,"#PublicHealthHaiku

Not sustainable
Meat comes with too great a cost
Plant-based food - good option.

@vegan @VeganProteins @brooklynvegan @veganfuture
@vegetar @vegsoc @APHAfood
@FoodEnvironment https://t.co/flcmgQisOt"
2020,"Lunch after weeks of fasting. We are so blessed to have health, food and work. 

#eatathome 
#vegetarianlife #plantbasedfood #vegetarianfood #eatinghealthy https://t.co/HkST4qXge7"
