date,content
2021,"@AlisonWildlife @studiomutt @Starbucks Ok then has “First it was the cow. Then goats and now plant based food. Has our obsession with milking things gone too far”? 

I mean, who figured out that you could milk an oat or an almond? Also, how did they figure it out. Most importantly, why?"
2021,@KISSMYBLU Plant based foods. Gotta be very careful!
2021,"@mrmarkdolan Bravo!  What you said about the nonsense being put out there about meat and veganism is spot on, on every point. Have these people never read the ingredients that go into their plant-based whatever?  It's horrendous, represents endless food miles, and tastes vile."
2021,@BurntOutUtopian @SocDoneLeft Protein. Bugs are more sustainable source of protein than any plant based food.
2021,@nareshnarayan19 Diabetes 2 can be caused by animal fat clogging insulin receptors. Rather consider a “whole food plant based” diet to improve health. Most effective.
2021,Daring Foods bites into third round in 12 months as plant-based chicken product enters Walmart | TechCrunch https://t.co/WC93JsEewT
2021,"@odriscoll_mark @BBCNews Not enough farmers, sorry no plant based food."
2021,Want to get back on my plant based food “diet” 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️
2021,"veganism is not a food trend btw, but to some people, plant based eating is"
2021,"@BENTWOOKlE Beef still uses a crap ton more resources than plant based foods, but yeah. I used to have a chart that compared all the meats based on environmental factors but I can’t find it."
2021,"you can be exactly who you are and go vegan, or incorporate more plant based choices, or just make the best choices you can on your own personal financial/food journey. it's okay!"
2021,I don't know why there seems to be an expectation for vegans who encourage more plant based options to also write your meal plans for the exact foods you have access for and personal budget. there are so many resources online. how do yall think most of us went vegan? I'm not
2021,"I really hate when people try to argue the health of plant-based food. Their point is always “if they have to add all that stuff to make it taste xyz then…” 

But a) do you know what those ingredients mean? Because I do. 

b) you eat McDonald’s."
2021,"The trendy plant-based segment is selling fast and growing at a quicker rate than traditional products. Data from SPINS details these increases and shows how close some categories are to reaching price parity 
#plantbased #food #grocery #groceryshopping https://t.co/ipGeVkZjF8"
2021,"@NSFtwerk @STOPHEATHERTIME I had the same problem when going from vegan to whole food plant based. One thing that helps - work beans into as many meals as you can. They have a fat/protein/fiber combo that gives meals staying power.

https://t.co/2edWwDQDCW

https://t.co/JBq25FKhDF"
2021,"Plant-based dishes will dominate the menu at the Cop26 climate conference, where 80% of the food will be from Scotland
The low-carbon menu includes 95% British food &amp; locally sourced Scottish produce &amp; each menu item has an estimate of its carbon footprint
https://t.co/g5eKkoItr8"
2021,Cop26 menu focuses on plant-based dishes with 80% Scottish food https://t.co/tJJcyjw8fo
2021,"Consumers have pushed plant-based foods into high demand, which can create large returns for investors. https://t.co/cb6Y226Ax8"
2021,"A couple of vegan/plant-based cafe/restaurant recommendations in Dundee.  Loco Rita's on Old Hawkhill is a 100% plant-based Mexican place. Food, service, and atmosphere all spot-on. Likewise, The Flame Tree Cafe on Exchange St. A bustling cafe with 2 menus, 1 fully plant-based."
2021,plant based foods do not exclusively belong to privileged white people
2021,"This tweet is not a call for anyone to harass indigenous ppls, I do not condone or support this. I am simply offering perspective to people who think plant based foods belong to white people.

Plant based foods belonged to indigenous peoples long before colonizers came tear down"
2021,Recreating cultural foods with  plant-based recipes is not assimilating to ytness when we live in a world where agricultural practices introduced by colonization has decimated the lands and health of Indigenous communities across the world
2021,"Bro you don’t want to try an impossible burger?

I mean I don’t…..

You like to kill animals you don’t think this plant based burger doesn’t taste good?

I mean yea I’ll try it….

Yea you will thank you for shopping at Whole Foods. https://t.co/pniPv0qCRR"
2021,"Trading at less then 1x rev $OG.V $OG if you listen to my piece with @AGORACOM last week on #plantbasedfood sector, $OG.V has both the retail &amp; product category in its tent. @futureofcheese &amp; @organicgarage https://t.co/ZuyGjTcpwc https://t.co/tfZ2NhEKqx"
2021,"Plant-based, whole food, ancient bread and pizza-making, in a makeshift Leaning Tower of Pizza oven—while breaking rules with kids! We cleaned up as we cooked—which is such a fundamentally important kitchen rule—until we said heck with it  made flour clouds together!

Austin, TX. https://t.co/br6YDSryHn"
2021,"@MarkTay44700458 It’s a good way to introduce non-vegans to plant-based foods. That one meal may change the mind of someone, so I think it’s ok. Not perfect but it’s something."
2021,Just marinated some portobellos &amp; peppers in some  whiskey BBQ sauce for mushroom burgers tonight! 🍄 plant based food is yum! #govegan #plantbased #vegan #plantfood #mushrooms
2021,@RonBlankstein @PeterFaberSP @PamTaubMD @khurramn1 @DBelardoMD @AHAlivehealthy @eatright @ASPCardio @HMethodistCV @HMethodistMD @CardioNerds @CiccaroneCenter @DrMarthaGulati @JamalRanaMD 1 cup steel cut oats + 1oz nuts = ~ 800 calorie meal. I support Whole plant based foods 🙌. I would just always emphasize tracking intake to dieting patients bc many (not all) of these non-meat sources will have more cal/g protein (vs salmon w/ 150 cal/ 20g protein) #myfitnesspal
2021,"@dhaby01 Plant based food &amp; a lot of cardio, you got this 😤"
2021,"plant-based and avoid red meat

👉 When people live on processed foods instead of whole foods

👉 When they don’t go outside and get sun and exercise

Basically when humans live in “captivity” like pets

__

Except it’s likely not true for the majority of the people reading this"
2021,"The Project Pollo crew brought us yummy plant-based chick'n sandwiches for our admin team. Everything was super good! Thank you for serving your delicious vegan food in our community!
@ValleyWestEs @HISD_Wraparound @sprattwoods https://t.co/m08TUHqMFi"
2021,This Black-Owned Business Is Bringing Plant-Based 'Soul Food' to Black Communities https://t.co/FbBjGipjxX
2021,"This is how I feel eating a Sapien diet (animal based with low anti nutrient plant foods)

Loading up on salt and saturated fat

Getting outside/in the sun each day without sunscreen (for a safe amount of time)

Brief intense exercise like weights and sprinting

Sleeping at least https://t.co/EuOz8tP3dS"
2021,"@citizenhelene Well, the good news is that the BBQ game has really come up in the last few years. Loads of amazing veggie BBQ and plant-based sides now.

If only I can get some bomb vegan Caribbean food out here 🤔"
2021,14-Year-Old Vegan Activist Removed From UN Food Systems Pre-Summit | Plant Based News https://t.co/0acSpJTFqB
2021,"The Food Pyramid and now My Plate is based on a huge portion of calories from processed foods

Much of the foods that make up the base are made with refined grains, seed oils, and sugar and they’re pushing industrial seed oils over natural fats

They’ve been pushing plant-based"
2021,"Today was my first time trying plant-based soul food and it was nothing short of delicious! 

@soul_food_vegan on IG. https://t.co/7yYjiRIxYb"
