state,before-covid,after-covid
Alabama,14,6
Alaska,0,0
Arizona,67,45
Arkansas,4,10
California,1055,654
Colorado,88,171
Connecticut,0,4
Delaware,1,1
Florida,394,218
Georgia,94,75
Hawaii,0,0
Idaho,3,5
Illinois,0,5
Indiana,0,1
Iowa,0,4
Kansas,13,12
Kentucky,5,26
Louisiana,21,17
Maine,0,0
Maryland,163,130
Massachusetts,46,49
Michigan,0,3
Minnesota,3,5
Mississippi,0,2
Missouri,26,28
Montana,1,2
Nebraska,0,0
Nevada,0,4
New Hampshire,0,1
New Jersey,74,35
New Mexico,0,6
New York,0,0
North Carolina,27,61
North Dakota,0,3
Ohio,46,46
Oklahoma,34,14
Oregon,0,1
Pennsylvania,0,0
Rhode Island,0,2
South Carolina,0,3
South Dakota,0,0
Tennessee,0,20
Texas,285,170
Utah,10,8
Vermont,1,2
Virginia,0,17
Washington,56,65
West Virginia,0,0
Wisconsin,19,19
Wyoming,0,0
