user,date,content
"{'username': 'stanhope5941', 'id': 17989603, 'displayname': 'stan_the_man 🍑🍑🥁🥁', 'description': 'Joe Biden’s the Man, praying for the blue wave, retired pharmacist, Love animals.', 'rawDescription': 'Joe Biden’s the Man, praying for the blue wave, retired pharmacist, Love animals.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2008, 12, 9, 11, 45, 6, tzinfo=datetime.timezone.utc), 'followersCount': 474, 'friendsCount': 1602, 'statusesCount': 5810, 'favouritesCount': 11443, 'listedCount': 1, 'mediaCount': 127, 'location': 'Maryland, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1250495939330088961/B3b5EGvP_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/17989603/1547476114', 'label': None}",2019,@goldengateblond @hint I’m eating plant based meat such as Impossible Burgers.
"{'username': 'AuldViking', 'id': 216406668, 'displayname': 'David A. Scott', 'description': '#SmallBusinessOwner #CommunityPlanner #Anthropologist #Geographer #Educator #CertifiedCarbonNegative #NewsletterPublisher 🇺🇸🇬🇧', 'rawDescription': '#SmallBusinessOwner #CommunityPlanner #Anthropologist #Geographer #Educator #CertifiedCarbonNegative #NewsletterPublisher 🇺🇸🇬🇧', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 11, 16, 16, 54, 20, tzinfo=datetime.timezone.utc), 'followersCount': 3195, 'friendsCount': 4190, 'statusesCount': 20079, 'favouritesCount': 212612, 'listedCount': 17, 'mediaCount': 1976, 'location': 'Auburn, NY', 'protected': False, 'linkUrl': 'https://www.getrevue.co/profile/auldviking', 'linkTcourl': 'https://t.co/RN94m4V2gK', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1401847574513033216/Z0Qi-pQr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/216406668/1627853825', 'label': None}",2019,Vegan Burgers. Beyond Meat's Beyond Burger plant-based patties on onion bagels. #Vegan A total of 520 calories per set. Continuing to engage in #cleaneating as the new decade sets upon us. Also continuing to enjoy a… https://t.co/gBgoBDvTgA
"{'username': 'BrownEyed_Babee', 'id': 729757521687265280, 'displayname': ""Scintillating Queen of Zamunda; it's Sapp Season"", 'description': 'Young Hoodrat. Womanist. FLOTUZ with the Mostest 🕊💙 (she, her, hers)', 'rawDescription': 'Young Hoodrat. Womanist. FLOTUZ with the Mostest 🕊💙 (she, her, hers)', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 5, 9, 19, 38, 46, tzinfo=datetime.timezone.utc), 'followersCount': 3128, 'friendsCount': 3126, 'statusesCount': 107695, 'favouritesCount': 111457, 'listedCount': 7, 'mediaCount': 3777, 'location': 'Pittsburgh, PA', 'protected': False, 'linkUrl': 'https://www.gofundme.com/f/assistance-for-kristen-and-chris?utm_medium=copy_link&utm_source=customer', 'linkTcourl': 'https://t.co/xmNMj6r9US', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1453913874584018946/UVZWwkhD_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/729757521687265280/1462824673', 'label': None}",2019,@kittykatsby And plant based vegan means you don't do the fake meat? Or what is the difference
"{'username': 'looksthatkale', 'id': 885112006818369536, 'displayname': 'Looksthatkale', 'description': 'Plant based*Animal caretaker*yoga teacher*balabusta*team #lowwaste', 'rawDescription': 'Plant based*Animal caretaker*yoga teacher*balabusta*team #lowwaste', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 7, 12, 12, 22, 1, tzinfo=datetime.timezone.utc), 'followersCount': 1189, 'friendsCount': 194, 'statusesCount': 24013, 'favouritesCount': 20154, 'listedCount': 7, 'mediaCount': 3767, 'location': 'Washington, DC', 'protected': False, 'linkUrl': 'http://www.looksthatkale.com', 'linkTcourl': 'https://t.co/1P1fVFBA4U', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1353718203059478539/u2DreGH5_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/885112006818369536/1528892911', 'label': None}",2019,@brewerfit00 @KaiGreene And then came out with a plant based e book promoting eating meat 😑
"{'username': 'Latitgo', 'id': 454945365, 'displayname': 'Latitgo', 'description': 'Founder @plantbasedecon\nResearcher @ plantbaseddata.org\nPresident @torontoveg\nDirector @vegfoodbank', 'rawDescription': 'Founder @plantbasedecon\nResearcher @ https://t.co/H2LQlo5U5z\nPresident @torontoveg\nDirector @vegfoodbank', 'descriptionUrls': [{'text': 'plantbaseddata.org', 'url': 'http://plantbaseddata.org', 'tcourl': 'https://t.co/H2LQlo5U5z', 'indices': (37, 60)}], 'verified': False, 'created': datetime.datetime(2012, 1, 4, 15, 25, 24, tzinfo=datetime.timezone.utc), 'followersCount': 355, 'friendsCount': 578, 'statusesCount': 4430, 'favouritesCount': 8630, 'listedCount': 2, 'mediaCount': 244, 'location': 'Toronto', 'protected': False, 'linkUrl': 'http://www.plantbaseddata.org', 'linkTcourl': 'https://t.co/6buZ6Y7lhm', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1268404078272491520/ccgQdchf_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/454945365/1587124221', 'label': None}",2019,"@NotTodayTay Poorest people in world tend to eat largely plant based specifically bc it's much cheaper &amp; no choice.  In level 1&amp;2 areas, rice &amp; lentils/beans easily compete with cheapest meat options"
"{'username': 'Shelby67GT', 'id': 152959743, 'displayname': 'Don Series X Yes we got games 💥', 'description': 'Xbox Series X gamer who wants nothing to do with the broken Metacritic and biased media.\n GT is FamilyGuyPeter  16\n years and counting on Xbox live', 'rawDescription': 'Xbox Series X gamer who wants nothing to do with the broken Metacritic and biased media.\n GT is FamilyGuyPeter  16\n years and counting on Xbox live', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 6, 7, 9, 27, 31, tzinfo=datetime.timezone.utc), 'followersCount': 2912, 'friendsCount': 4579, 'statusesCount': 52938, 'favouritesCount': 345044, 'listedCount': 22, 'mediaCount': 11087, 'location': 'Guelph', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1446982023525113866/UywtBSVN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/152959743/1401899499', 'label': None}",2019,"@g_uss_ That is not good Guss. Becoming a vegetarian scares the hell out of me.
Thankfully, plant based meat is currently more expensive than the good stuff....🤔"
"{'username': 'stenoodie', 'id': 1849478239, 'displayname': 'Karen M', 'description': 'stenographer, foodie, travel bug, blogger, new mom', 'rawDescription': 'stenographer, foodie, travel bug, blogger, new mom', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 9, 9, 21, 12, 51, tzinfo=datetime.timezone.utc), 'followersCount': 534, 'friendsCount': 419, 'statusesCount': 7711, 'favouritesCount': 3072, 'listedCount': 62, 'mediaCount': 1467, 'location': 'Canada', 'protected': False, 'linkUrl': 'http://www.stenoodie.com', 'linkTcourl': 'https://t.co/98tgtLXUuV', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/464391519902760961/aQDG9lBC_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1849478239/1399554577', 'label': None}",2019,"Finally trying Planta in Yorkville. All plant based dishes. No meat. 🤗 plantayorkville @plantaresto 
🌱🌱🌱
.#blogpostwillbeuptomorrow @ Planta Toronto https://t.co/6wWldeWWej"
"{'username': 'dawgsandelfs', 'id': 2193114512, 'displayname': 'George 2006 Times person of the year', 'description': 'Browns, Ohio state, Guardians , Cavs. residential remodeler.', 'rawDescription': 'Browns, Ohio state, Guardians , Cavs. residential remodeler.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 11, 13, 23, 20, 2, tzinfo=datetime.timezone.utc), 'followersCount': 1288, 'friendsCount': 1442, 'statusesCount': 40597, 'favouritesCount': 21860, 'listedCount': 17, 'mediaCount': 2745, 'location': 'In the kitchen ', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1399093165441888257/UIVxuh5F_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2193114512/1634413368', 'label': None}",2019,@mokiesunshine I’ve been eating mostly Whole Foods plant based the past 2 weeks. No meat at all. Recipes I’ve found for making cheese sauce uses nutritional yeast. Haven’t tried it yet but I will
"{'username': 'GabrielDeAngel', 'id': 390714369, 'displayname': 'Gabriel Sanchez', 'description': '""A good friend is like a four-leaf clover; hard to find and lucky to have.""', 'rawDescription': '""A good friend is like a four-leaf clover; hard to find and lucky to have.""', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 10, 14, 12, 36, 31, tzinfo=datetime.timezone.utc), 'followersCount': 80, 'friendsCount': 658, 'statusesCount': 1093, 'favouritesCount': 206, 'listedCount': 0, 'mediaCount': 57, 'location': 'Washington, DC', 'protected': False, 'linkUrl': 'http://freestyledf.com', 'linkTcourl': 'https://t.co/7ULmmaSiBI', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/994966994284875777/QNoOW_o8_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/390714369/1526053593', 'label': None}",2019,"Today’s vegan meal is Tostadas, with vegetarian beans, avocado, lettuce, vegan mozzarella cheese, plant based ground meat and jalapeńos! Yummy! #vegan #veganrecipes #veganmexicanfood  #vegansofig #vegano #vegans… https://t.co/rFni5KB2VZ"
"{'username': 'saykaylen', 'id': 1423991282, 'displayname': 'kaylen 🤩', 'description': 'so much love Ig: saykaylen', 'rawDescription': 'so much love Ig: saykaylen', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 5, 12, 20, 34, 35, tzinfo=datetime.timezone.utc), 'followersCount': 469, 'friendsCount': 293, 'statusesCount': 86714, 'favouritesCount': 84194, 'listedCount': 8, 'mediaCount': 870, 'location': 'Maryland', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1386079124423335936/KkNSii_H_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1423991282/1480902798', 'label': None}",2019,I hate when people ask me why I’m vegan but eat plant based “meat” like chicken and burgers... I feel like it’s self explanatory
