date,content
2019,"My BBQ Meatball Sandwich is so good my customers accuse me of using ground beef instead of the plant-based, Impossible Meat. Vegan or not you have to try it! #Vegan #HeartandSoulCafe @ Heart &amp; Soul Cafe https://t.co/zVgbbuQzMq"
2019,"***forgot to add to this. 
-lean meat!! Ground turkey, chicken breast, salmon, shrimp. I am NOT vegan. So those of you who are, I’m sorry. You an opt in for vegan powder and plant based protein."
2019,im excited for the day that it’s common for all meat to be plant based ..
2019,@richcollins @SBakerMD @ArnonKrongrad @ForTkdi @kevinnbass An extreme drop in heart disease rates was also recorded in Norway during WWII when the local population had to shift to a substantially plant based diet due to low availability of meat.
2019,"my nigga, i’ve felt so much better since i switched to plant based meat. ion think i can ever eat an actual animal again. i also been meditating and i quit smoking nicotine."
2019,"@AKBfromRVA It’s not binary. We’ve sold 17 million eggs (all plant-based). And we aren’t making meat for thoughtful folks, like you, who don’t eat meat."
2019,...should I store my plant based meat alternatives in the veggie drawer of the fridge??
2019,"@Borborygymus Oh shit you know her!!?? That's sick! I knew about Virgin Cheese, but I didn't know we had someone local other than NoButcher making plant based meat substitutes!!!"
2019,"Just launched our shorter, food news brief podcast, KATCHUP LITE. Also starting with an exclusive, @tacobell’s plant-based meat...we tell you everything we know: https://t.co/Lwbz6MR8ks"
2019,"“Bro meat is helluh bad for you, like just go plant based idk what’s so hard..”

*takes a chug of Guinness

*takes a drag of a cigarette"
2019,Alain Ducasse is not enthused by plant-based meat substitutes https://t.co/MfWSQbVSdO
2019,Huge thanks to the @CenterForBioDiv for recognizing plant-based meat in preserving our planet’s wilderness and the many species that live on it. https://t.co/lukDtxL5Sw https://t.co/wpmyUF0YPK
2019,"Tried the plant based diet for a month and felt amazing, recently had meat a few days this past weekend and my stomach bumping all the time now 🥴"
2019,Day #3 of my plant based diet. I should be eating like this. But it is challenging not to add sugar to my coffee and not eating dairy or meat alternatives.
2019,"Oh no. From Nebraska, the 4th top beef producing state. If @SenatorFischer really wants transparent labels for plant based meat, let's see one for commercial beef. Pink slime, toxic runoff, animal cruelty, GHGEs, etc. Dare ya. https://t.co/0k2zRVsaHW"
2019,"@pressed4thyme @SuckANik @king_dick3 @ItsFatimaG @milkmyoats @rootedwithsoul You're confusing veganism with plant-based.

Veganism is the ethical stance that it is immoral to exploit animals.  Plant based simply means the person chooses not to eat meat for any number of reasons. 

Veganism includes a plant-based diet, but goes far beyond that."
2019,"For vegetarians and vegans. We have great salad choices, vegan cheese slices, and the famous Impossible burger.  Looks and tastes like meat but is completely plant based"
2019,Hilarious &amp; instructive piece from @TheDailyShow on meat’s toll on the plane and plant-based alternatives. @roywoodjr is the funniest correspondent! https://t.co/QsHHsgOA7x @michaelpollan lays it out - eat @ImpossibleFoods etc. to transition off beef &amp; restrict your beef intake!
2019,Random thought...but “plant based meat” isn’t bad. It’s the cheese. The fkng cheese. Plant based cheese tastes like what I imagine fart to taste like🥴
2019,@IanRountree I think my conclusion is that I want to index more heavily to plant-based diet. I probably won’t ever give up meat entirely.
2019,It’s so cool to see people try and incorporate plant based food in their diets and have dairy free or meat free days! Your body and the planet will thank you for it!
2019,"@strength4health Pleased to meet you brother. My goal is to be the “reasonable vegan.” But if you could prove that carnivore nutrition is healthier than whole food plant based (healthy) vegan nutrition (which I do not believe), I still would not eat meat because I am an animal rights activist (1)"
2019,Still my favorite ! It’s going DOWN ! Y’all know I throw down on Thanksgiving for everyone. Plant based drippin’ &amp; love for the meat eaters to ! I do it all from my ♥️ @ My Queendom https://t.co/k6fYwAsLDV
2019,"@Jolovsadventure @MacCrawintheJaw I watched them! I haven’t eaten red meat for years, and I’m 3 weeks into mostly plant based. Good so far but missing  fish!"
2019,@ntmullins @Ivy_Middleton @herbivore_club @hai_leaa Is a balanced plant based diet that excludes meat and animal products inherently unhealthy? Yes or no.
2019,I accidentally ordered plant based asada tacos the other day (didn’t have my glasses on &amp; was tipsy) and tbh they were bomb.  S/o to people who find yummy and creative ways to substitute meat I’m here for it!!! 😋
2019,"@RealSexyCyborg Woman has the right to eat what she will.
Also: post like this critique’n your dietary options is why “We” don’t like the term “Vegan” and and use “Plant Based Diet”
I still like the smell of cooking meat especially out doors ...just can’t digest most of it .
Tried Venison?"
2019,"what a lot of people don’t understand about being plant based is that it’s not the flavor of the meat that you like, it’s the seasoning. no ones eating a piece of unseasoned meat &amp; saying “this is SO good” if you can match the flavor that a typical meat dish uses, you’re 100% set"
2019,Meat is going to be expensive and all fast food chains will transition to plant based goo instead of meat based goo https://t.co/RLa2FeWgTs
2019,"💪🏽💪🏽 protein consumption 💪🏽💪🏽
What a hot topic now a days 🔥🔥
How much should I consume ? Should o go plant based 🌱 is too  much red meat  bad 🥩 ?? 

Everyone has their own preferences. Here is something I do to hit… https://t.co/IjvT6MeKm6"
2019,The world is wising up &amp; moving to plant based meat alternatives. Just remember it wasn’t long ago that you were not able to vote bcos of ur gender or race. We are moving to a wiser mindset for all humans and animals 🙏🏼🙌🏼🙏🏼
2019,@LasVegasLocally @MitchMossRadio 😂 We are trying 75% plant-based - so there’s literally half the amount of meat than normal and almost 2x the amount of veg. Small steps to 🌱.
2019,Beyond meatless 🍔 at Swamis is BEYOND words delicious ...100%  plant based with vegan 🧀. Try it! You won't regret it...there is zero reason to eat meat or animal products at this day and age! Best meatless burger!!!… https://t.co/EC9WX4vSR3
2019,"- 30% of the Earth is land
- 70% of land is habitable 
- 50% of the habitable land is for agriculture
- agriculture is 80% meat/dairy and 20% crops
- global calorie supply is 18% from meat/dairy and 82% from plant-based food
-&gt; Buy @ImpossibleFoods"
2019,"I feel like a lot of restaurants and fast food places are switching to plant based or lower quality meat because of prices. I went through a phase, where I didn’t eat out for a month. I ate at three places, and all of them upset my stomach. All different items."
2019,"Brown calls plant based meat revolution the “Manhattan Beach Project”: scientific scale of Manhattan Project, with sustainable ~California vibes~ (their lab is in LA South Bay city MB) #SUMMITLA19 @BeyondMeat"
2019,"my grandpa didn’t realize an impossible whopper is plant based so when he got home and saw the red patty, he thought they served him raw meat so he took it out, cooked it on a pan, and then put it back in the burger and ate it."
2019,@twixrho9 It’s good.. I showed @ampd08 a scene where they studied the difference in the amount of erections and the strength of the erections in one night in athletes who ate a plant based burrito and a meat burrito. LOL
2019,Richard Branson: “Plant-Based Meat Will Become the Norm and Animals Will no Longer Need to be Killed For Food” https://t.co/GdEr9QyBs3. I’m glad to read that Tyson meats and Cargill are also investing.
2019,I’ve cut off like 85% all the meat I used to eat from my diet and I’m always hungry now lol but I’m also never tired af after lunch hopefully I can go 100% plant based in the next few months once I have enough go to plant based meals
2019,plant-based [meat-free] samosas 🙌🏽 https://t.co/csy8U9nQ7l
