date,content
2019,@venusin12th @cashewbeans @yungspartak I was vegan 🌱 once and it didn’t work for my body because my body needs meat sadly. You can eat plant based without being a dick. also when I was vegan I was BUDGETING! even with the $10 in my account rn. Please give me a meal plan idea based on a vegan diet that’s doable.
2019,"It bugs me when people think that the way to be “healthier” is to go gluten-free, meat free, or with highly processed “plant based” food. Everyone’s diets and needs are different. What works for one person doesn’t always work for another."
2019,"I cook all my meat in plant based butter. 

Just to irk vegans."
2019,"@NanciGuestRDPhD Uh wrong. If you don’t eat skeletal muscle, you’re a vegan. Someone that eats meat, but mostly plants, eats a plant-based diet."
2019,@runnergirladams @NanciGuestRDPhD @ShawnArent @kevinnbass @UofSCSportSci Virtually every meat-eating athlete I know eats a plant-based diet. Rice is 1/4 of my entire diet. Meat and plant-based (however defined) are not mutually exclusive.
2019,@lants Have you tried meat? It's also plant based.
2019,"@TheWidowmakerX Did you see the salt content in the plant based pretend meat. Some are over 650 mg,...heart attack 💖💖💖"
2019,"@bbashy @duckfaceharpyjo @GrahamCD62 @McBazface @GoVeganWorld @newstart43 @davidwilms @jasonebeling @repealbsllisa @agargmd @twarinner @TEDxOU We wouldn't even existed as humans if we didn't eat meat, so the idea that we would progress if we switched to plant-based is obviously, blatantly false."
2019,"And another unbiased person. Btw @kevinnbass has said he follows a mostly plant based diet and has argued against heavy meat inclusion in diet. Soooo before you zealots get angry, keep that in mind https://t.co/JAQWEMjKTv"
2019,"Everyone needs to go watch The Game Changers on Netflix. It’s a documentary about eating plant based and why it’s the best option. 

Save your body. 

Save the planet. 

Stop eating meat."
2019,"@MagazineRange Drovers should quit calling it plant based. It's a euphemism for vegan. The ARs &amp; vegan meat companies knew normal people wouldn't buy ""vegan"" food. So they gave it a nicer non offensive name &amp; blasted it so everyone would change. 
Don't get used. Call it vegan--turn ppl off."
2019,Join me in urging @IHOP to add plant-based meat options to their menu! Email them now: https://t.co/QkAOgbmxXb @MoveTheWorldUS
2019,@SieJ24 I agree with that side of it. But I feel like lab grown meat won’t have any of the health advantages that plant based provides. Better for the environment but not necessarily better for humans
2019,@always_GoHARDER It’s not necessarily bad but getting your food off a plant based diet is better than any meat.. fish are used as a healthy alternative to chicken and beef bc they have good protein and low fat.. but crabs/crustaceans normally have a lot of cholesterol..
2019,"@MagazineRange U mean her vegan diet, right?
Just bc she calls it plant based doesn't mean u have to. 
That new name 4 vegan came from the food cos &amp; Animal Rightist trying 2 lure normal people in2 buying vegan meat. Anything vegan is a turnoff so they changed the name.
Don't help them."
2019,"@agintegrity @troysetter @redmeatcouncil @NTCattlemen @GeorgieSomerset @ColinJBettles @pipcourtney @BryceDCamm @DonMackayd @Paul_Brown1 @annbritton @bellevueluck @gundamaincattle @KMulvahil Plant based - just a more pleasant name for VEGAN MEAT. Verbal manipulation by Animal Rightists &amp; food company marketers bc they want normal ppl to try this crap &amp; normal ppl won't buy  VEGAN MEAT. VEGAN anything is a turnoff.
Don't get used.
Call it what it is - VEGAN MEAT. 👅🚽"
2019,"Y’all, I’m blown away over last nights dinner. This plant🌱based meat game is getting CRAZY!!!
Not only that, but the gluten-free choices too!!
Last nights dinner 🥘 spaghetti and meatballs🍝🥰😋purefarmland has got the… https://t.co/AVTfWR296Q"
2019,“The Game Changers” documentary on Netflix has me wanting to go on a plant based diet. It’s definitely a great eye opener and the scientific experiments that were done with meat vs plant based was crazy to see the numbers
2019,"The game changer just fucked up my whole appetite for meat , i think it’s time for me to start a plant based diet ."
2019,Y’all don’t wanna watch the documentaries about plant-based diets/the meat industry because you know they’re gonna fuck up everything you think you know about what you eat
2019,"Hello Impossible Shepherd’s Pie! Our pub favorite is now #vegan with plant-based “meat” and no cows. Impossible?! We thought so too. This take on our classic has #impossible with peas, carrots, onions, mushrooms and… https://t.co/tnVAmLBOwt"
2019,"When you do a detox and your body just don’t want any meat .. Plant  based  diet .
.
.
.
.
.

.
. .
.#jacksonvilleflorida . .
. . .
. .⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️.
.
.private chef , meal preps inquire… https://t.co/FRLKOmaS8Z"
2019,Just bought all plant based and meat free groceries🤗
2019,Veggie burgers that taste like meat are here!! @Lightlife pea protein plant-based burgers available now. Ask for it! #delicious #glutenfree #glutenfreesauces #vegetarian #vegan #veggieburger #impossibleburger #Boca… https://t.co/JdInsLUpwv
2019,Plant based doesn’t mean always using a meat substitute thank u.
2019,@oliviargentry Congrats of wanting to eat less meat!  What do you think your biggest challenge will be?  Do you eventually want to go all plant based or vegan?
2019,"Indeed. Plant based meat?

I was thinking about  that as I enjoyed a plate of ""cauliflower"" made from ground lamb. I think they should add this dish at the Wardhurst in Peabody https://t.co/a206G48S9h"
2019,"@mos8580 I saw many Dr’s, some gave me very strong meds that didn’t help, others gave me lists of foods to eat &amp; avoid. I was supposed try individual things on the list to figure out the culprit, no real relief till I went plant based &amp; still don’t have an answer other than meat &amp; dairy."
2019,"@RealMattCouch No! All the so-called ""plant-based"" meat is made from fetal tissue provided by Planned Parenthood. Don't eat any of it! SOYLENT GREEN IS PEOPLE!"
2019,"@saminalrights How dare you show WFPB meat, you are so insensitive and I thank you dearly for it!! 👊🏻 Let add to your insensitive photos of plant based delicious food that did NOT require an animals dying...✌🏻🌱 https://t.co/muFzOqUOyu"
2019,McDonald’s Is Testing Plant-Based Patty Developed with Beyond Meat https://t.co/2QXhX858ji
2019,"@JessLReid @Clarklynd @trentloos @gcmovie Based doesn't mean exclusive. Spaghetti is based on more wheat, tomato, onion, garlic &amp; green pepper than meat. So how much meat can you have in your food &amp; still say it's ""based"" on plant matter? 
Ur playing name games bc of the image so called vegans have earned 4 themselves. https://t.co/vlW08K8fGH"
2019,"@JerryGrund @JessLReid @trentloos @jimmundorf @cowsaremylife @Clarklynd @gcmovie Plant based is just a euphemism for vegan. The ARs figured the word vegan was turning so many people off they needed a better image. 
Don't help them. They're trying to sell that crap vegan meat. Call it what it is. Vegan is vegan with all it's tacky, obnoxious connotations."
2019,Impossible Shepherd’s Pie is here! Experience the plant-based “meat” in our pub favorite this week at The Field. Could it be even better?! That’s what we’ve been told. #impossibleburger #impossible #irishpub… https://t.co/MjuKoftXUz
2019,"@your_vegan Be thankful that these major meat companies are now taking steps to offer plant-based options. I don’t care what it’s called, I care this is pushing the plant-based movement IN THE RIGHT DIRECTION. The general public needs options they can relate too. Isn’t that what matters??"
2019,"@VeganAri Any opportunity to expand plant-based alternatives for the mass public is a good thing. It is substituting meat, why would a Vegan have a problem with that? Particularly with a brand that is global reaching millions of people who otherwise don’t even know what the “vegan” means!"
2019,"@jimrockfordatSH @nationalpost I’m seriously trying to figure this out 

Meat? no Meat? Plant Based?"
2019,"@VeganAri I support any plant based option as an alternative to meat. I support any company regardless of their reasons to offer to their consumers a plant based alternative. Many people may never consider this option so this expands the plant based movement. So yes, I support them!"
2019,"@vegan4thePigs Absolutely, this will continue to get worse as the needle continues to move in favor of more plant-based options for the general public. Regardless of peoples opinions on alternative meats like impossible and beyond, they are changing the dynamics of the meat industry for better!"
2019,@DubbyGoodell @dom_campbell @jazmies @SnowWhite_Lines Who eats fake processed meat??? 🤔 Such a thing as PLANT BASED...which I mentioned. Do your research between the two. Thanks.
2019,‘Plant-based meat’ products miss the point https://t.co/VLxpYBsY46 via @torontostar
2019,"@WholeFoods hypocrite! But they'll sell animal products proven to be a carcinogen &amp;unhealthy for humans&amp; claim its humane.What a joke! But vegan food is under a microscope smh
Whole Foods CEO plant-based 'meat' is unhealthy: 'I will not endorse that' https://t.co/hVtotQOunb"
2019,"95% of the people who bought a plant-based burger this past year were meat eaters.  
#BeyondMeat #ImpossibleBurger #PlantBased #880TheBiz

https://t.co/xl9VMoLSza"
2019,Ridiculous to me how badly people want to hate plant-based meat products - sorry not all of us hate the planet https://t.co/ShU0YBhRkm
2019,"@yungeateat I also make a strew as well and idk if it’s specifically plant based but there’s no meat bi product. I use onion soup mix as the base(make sure it’s one with no beef bone or anything like that) and I rough chop onions, white mushroom, zucchini and squash, season everything"
2019,"from Stand 549 mayan_delights
• • • • • •
Many are surprised to see and try our vegan Jackfruit taco because they think it is meat but NO our tacos are 100% based plant, even our carnivorous customers love it and… https://t.co/TRFfOt8FnE"
2019,We tried the Impossible Whopper from Burger King! 🍔 Our thoughts: if we didn't know that the meat was plant-based then we would totally have thought we were eating an original whopper. #impossiblewhopper #plantbasedmeat #tryit #burgerking #alltheRAVErightnow #RavesonFaves https://t.co/7csIRqPwUw
2019,"When it comes to cholesterol levels, white meat may be no better than red meat — and plant-based protein beats both - https://t.co/WjictH4l4p via @shareaholic"
2019,"Veggie Burger at Denny's.
It's pretty good but they should definitely add either a Beyond or Impossible option.  Or any other plant-based meat really. https://t.co/Xzo9Y4QZm9"
2019,"Not adding veggies to my quesdilla cause if the cheese and the meat are plant-based I already eating veggies right?

Feeling lazy yes."
2019,Has anyone tried the impossible whopper? Plant based. No actual meat.
2019,Until he finds out fetal bovine bone marrow is used to make the plant based meat 😒 https://t.co/AE1esft9wl
2019,@FreddyBricks Beyond meat is sooooooo good. Like the perfect plant based burger so it makes me 🤨 to try the Burger King one
2019,@RampCapitalLLC Plant based imitation meat products
2019,"@sameehaxo Plant based eating in general is healthier but results will depend on what you're actually eat.  Just know the more whole, unprocessed foods the better and eat a wide variety of things....but of course there are a ton of good meat replacements out there 😊"
2019,"Sure, plant-based meat alternatives are better for the planet than meat, but are they aren’t that much better for our bodies.  https://t.co/z2qpJR2Pgp # via @HuffPostLife"
2019,@jadler1969 @DavidAFrench WTF is plant based meat?
2019,These laws are so silly.  Big Agricultural must think the public is really stupid if they believe people are mistakenly buying plant based products because they think they are meat.  Or.....they are scared of they success of plant based products 🤔🤔🤔🤔🤔 https://t.co/4QWh02YhJY
2019,Nothing better than a beyond meat burger. It makes my plant based soul so happy
2019,"“Grubhub’s 2018 Year in Food report, which analyzed orders from more than 16 million consumers showed that no red meat dishes were even on the top 10 list”

Grubhub trend report shows staggering growth of plant-based meat orders https://t.co/tUB0vZl4kn via @restaurantdive"
2019,Jepotle is open for business in the concourse area! Hope everyone likes my meat and plant based options. #CEO2019. https://t.co/Gl54qSI1rf
2019,Its funny when people try to say vegan food is gross. Yesterday my manager went off about how it’s disgusting &amp; being vegan is horrible for you bc the human body “needs meat”. This 300 POUND man thinks plant-based foods are gross but chewing on an animal carcass isn’t? LMFAO
2019,"@agargmd @SteveTiger999 @KoushikReddyMD @Sugar51976529 @respectfullivin @HealthNS @drjkahn For my talk at ICNM, I’m going to present my case with the doctor who cured me and then explain to the audience of physicians how to use simple professional sales to “sell” plant-based nutrition to their male patients. Women get it, men somehow relate meat to their masculinity."
2019,"Let's do our part to fix the climate. Eat less or no meat! Plant based burgers flying off the grills!
Mission Impossible? Maker of Plant-Based Burger Struggles to Meet Chains’ Demand https://t.co/b9ctYkIXAz"
2019,@Based_Flamingo Okay before you start defending meat you gotta do research cause that statement is a little off. Do the research and you’ll see that plant based diet is a lot cleaner than meat. A LOT of things are cleaner that meat.
2019,I’m all for the ‘not meat burgers’ but to call them plant based is a stretch since it’s processed with who knows what that def was not made from the Earth 🌏. But I’m happy to see them gaining momentum regardless. https://t.co/fgW7Uhciiv
2019,"Since Beyond Meat IPO’d, the plant-based meat company’s stock price has gone up over 300%.  And it has investors wondering if its main competitor, Impossible Foods is also going to be IPO’ing anytime soon.  #BeyondMeat #ImpossibleBurger #ThisIs880

https://t.co/DxWmsky0xu"
2019,"I will literally dislike almost hate you if you ever look me in the eyes if I want a plant based option and you look me in the eyes and think I'm a pain, and say why cant you just eat meat and I say I think its disgusting and you say it's not.... I will never like you ..."
2019,Beyond Meat goes public with a bang: 5 things to know about the plant-based meat maker https://t.co/Ds9bGwGLY8
2019,"Fck @Arbys! Plant-based is the future, get on board or get out of the way! #horsenbuggy #stuckinthepast #arbyslovesclimatechange
Arby’s says plant-based meat products won't be on menu ‘now or in the future'  https://t.co/ZN4BozzuRR #FoxBusiness"
2019,"So basically I'm going to try making incremental changes. Instead of cutting out animal products, I'm going to gradually add in more plant based foods. I'm starting with *generally* choosing not to eat meat, though I'm not calling myself a vegetarian because I don't want to..."
2019,"You know what’s hilarious? You sound exactly like crazy vegans. Just exchange ‘red meat’ for ‘plant based’ and you are exactly the same people, only difference is you chose a different religion https://t.co/phh5SO1K9s"
2019,@KendallRaeOnYT No!! Genuinely delicious! Before I went plant based I loved the burgers as a precious meat loving burger loving gal but they are insanely good and it tastes so real. Can’t find a difference at all minus the whole not killing an animal part of it 🤪
2019,"@The_H_Train I don't believe anyone thinks there's any *actual* confusion. The meat industry is worried that some consumers will choose plant-based products instead of meat, and so they're trying to make it harder for the plant-based food producers to gain a foothold."
2019,"Wow...great lighting in this kitchen #petsitterlife #sittingthedoggo 
#foodphotos #vegandinner #vegansausage #beyondmeat #beyondsausage #plantbased #plantbasedmeat #planteater #veganchick #whatveganseat #govegan… https://t.co/tAzQO4NBgH"
2019,"@IiIfranch red meat, milk, chicken, any non plant based."
2019,"“Every burger replaced... has an impact on CO2 emissions, demand for factory farming, and demand for antibiotics. The more the plant-based meat industry grows, the more those impacts will be visible — and that might, in turn, itself fuel more interest in plant-based meats.” https://t.co/bArh2au3d8"
2019,Beyond Meat Unveils Plant-Based Ground Beef Coming to Grocers https://t.co/G9BNajyf1M 🙌🏼🌱 @BeyondMeat #vegan #vegetarian @Walmart
2019,"@TheRealNandrew @MiguelFJones Plant-based diets, IMO are appropriate during a #MeatFamine only. Plants are full of toxins such as oxalates &amp; lectins that damage human cells overtime &amp; cause inflammation in throughout the body #NonOptimal where #meat is most nutrient dense food human body can absorb🥓🍖🍗🥩✌🏻"
