date,content
2019,"@TaylorJenaLee But if everything check out go forward it! When I feel ready to really go all the way ima get a blood test just to make sure 🙏🏾 but last summer, I only ate meat once a day and my other meals were plant based and that worked out great."
2019,"@uscattlemen @BeefUSA @DebFischerNE
@RogerMarshallMD @JenETLC

https://t.co/RTWlHnoIXa

#plantbased #plantbasedmeat #fakemeat #replicameat #realmeatact #beef #usda #fda #beefusa #usacattleman #3naturalN #nutrition #performancenutrition #beyondmeat #impossibleburger"
2019,"👋👋👍👍😀😀

@uscattlemen @BeefUSA @DebFischerNE
@RogerMarshallMD @JenETLC

https://t.co/BtxHOEjQnW

#plantbased #plantbasedmeat #fakemeat #replicameat #realmeatact #beef #usda #fda #beefusa #usacattleman #3naturalN #nutrition #performancenutrition #beyondmeat #impossibleburger"
2019,@rebeccaamm Im literally watching this video ab why a plant based diet is soooooo much better for you and im telling you... its crazy i wanna commit but i love meat:/ wby?
2019,And boys needa stop eating meat w a meal it has actually shown in tests that on a plant based meal you get a clear blood flow thats long N strong baby😜
2019,"@herbivore_club I disagree. I think that fast food chains and the like, offering plant based options is a step in the right direction and should be supported. I know several meat eaters who’ve opted for the plant based options and that saves animals and that’s a good thing."
2019,Plant based guys always trying to date me. I want the meat. Don’t give me a plate with no meat.
2019,"@AlyssaRDN Is it your professional view that people are unhealthy if they choose to only eat whole foods plant based meals with no meat, dairy and eggs?"
2019,"@AlyssaRDN You know “a lot” of people who went whole foods plant based and then went back to eating meat, dairy, eggs, and processed foods? Why did they go back?"
2019,"@bigguccimone A baddie gone know use the utensils when she eating crab legs, she probably don’t eat burgers cause of the red meat and she plant based, and she don’t need lash glue cause she goes to appointments to get individuals... your definition of a Baddie is mediocre 😭😂😂😂"
2019,"@CMacksey I always thought plant based meals were focused on plants but didn't exclude meat while vegetarian or vegan meals explicitly exclude meat proteins. Under my interpretation, we eat plant based a lot, especially over the summer."
2019,"@atheist_bad Some diets are concocted not with the health of the eater but with the economic well-being of food industries in mind. Because plant-based diets have slowed dairy &amp; meat consumption, the industries spawned the Paleo diet. So the books promoting Paleo are disinformation."
2019,"So I’ve done a plant based diet for 3 straight days and I gotta say, I haven’t craved meat at alllllll... I feel more energized throughout the day and my gym sessions have been on point. Is #plantbased the way to go??? 🧐 https://t.co/1RuspnzizQ"
2019,@AnyaVolz I’ve been doing that lately! Meals I cook at home are pretty much 100% plant and grain based. Cooking any type of meat is annoying to me so I’ve given up on it lol
2019,"That’s right! We owe our big brains to eating meat 🥩🥩, not chewing on plants. 🌱🌿Based on the indoctrination the past 50ish years, it’s a hard concept to swallow. 😮🤔 But the truth is the truth. 😁

#lonestarketogirl #meatisessential #meatgrowsbrains #yes2meat #meatheals https://t.co/sxBkzBMU3E"
2019,"Finally watched #GameChangersMovie
Definitely will go back to my vegan diet. Since I switched back to eating meat a few times a week, my knee and other issues have started acting up again. Plant based lifestyles are gonna save the planet."
2019,Every plant based vegan “meat” product I’ve tried has been bomb... so I try and ease into it 🤔
2019,"People who ask me why I’ve stopped eating meat: here is a really great documentary on Netflix that explains the science behind the health benefits of a plant based diet. If you’re interested, this is a great place to start. 

The Game Changers https://t.co/vE3i90mlE1 @YouTube"
2019,@Aamandagusman YES! It’s crazy to see. We swapped out most things to plant based but we still eat meat when we want it 🤷🏻‍♀️
2019,I wish vegan cheese was just as big as plant based meat right now...
2019,Correct: Plant based burgers like the beyond meat or impossible burger don’t release the methane that cows do!
2019,"What’s for dinner when you have a husband that doesn’t eat meat, one kid allergic to wheat &amp; a picky 6 year old to feed? 
#notanad 
——
Pictured mahatmariceusa certified gluten free rice, @beyondmeat plant based… https://t.co/aAtpcoyqEa"
2019,"I was pleasantly surprised by how delicious this beyond meat cheeseburger was @TGIFridays 

I will admit I was initially weary about a burger made from plant based ingredients but it is actually very good. Give it a try! #FridayMotivation https://t.co/h80fSwvCF3"
2019,people who eat meat love to post when they eat something that's vegetarian but make fun of people who are actually on plant based diets lmfao
2019,Getting ready for a new #signinstallation but already thinking about lunch. Who’s tried their new #impossibleburger? Let us know what you think! #PlantBasedMeat #burgerking #sign #installation #outdoorsigns… https://t.co/J5jliD8t2a
2019,Sooooo yeah. WeDidDat😭😭 #plantbasedmeat&amp;ShrimpEnchiladas https://t.co/ckwmumblbi
2019,"Okay I’m making vegan enchiladas for lunch next week — the only thing that’s vegan is the plant based meat ! But I’m excited, I’ll send pictures soon."
2019,"I ORDER A BURGER IT BETTER BE BEEF
USA TODAY: Impossible Burger is making its grocery store debut on Friday. Here's where to find the plant-based meat.
https://t.co/rBZsBrWaPQ

via @GoogleNews"
2019,"Texas A&amp;M researchers said that BRISKET IS HEALTHY FOR YOU. Yall can keep ya lil ""plant based meat""... Big ups to schoepfs_bbq getting me squared away! @ Schoepf's BBQ https://t.co/w4w0lVwuZI"
2019,"I have nothing against vegans or vegetarians, but I don’t get why companies make meat that’s plant based but it taste like beef, chicken, or turkey. Like if you’re going to eat something that taste like animal why not just eat the real thing?"
2019,If I ever decided to go Vegan I’m not eating plant based meat substitutes. The whole point is to get away from processed food
2019,"@brad_polumbo So plant based meat, eh?"
2019,@drjkahn @mnt The author Emma Derbyshire is a spokesperson for the Meat Advisory Panel. They have published a garbage article about a nutrient that Is supplied in adequate doses on a Plant Based diet. Choline deficiency is NOT a thing.
2019,"I can't say everyone is meant to be vegan or plant based, but I say that any diet with meat as your major source of nutrition isn't nutritious at all. Everyone should be consuming way more vegetation than meat. https://t.co/jUSctDXNHc"
2019,"KFC is testing meatless chicken wings and nuggets #veganfood
#veganlife
Beyond Meat and KFC have partnered to offer the first fast-food plant-based chicken at one Atlanta location. https://t.co/y5ebUexPuS"
2019,"Get ready! Beyond Meat plant-based nuggets are coming at a KFC near you! We will soon be able to enjoy #nuggets without killing #chickens!!

KFC Trials Vegan Nuggets And Wings From Beyond Meat In US Store.

KFC is… https://t.co/y2GtF5px7P"
2019,"@BJStrongArmAHo Basically a giant fig like fruit that is packed with vitamin a that plant based diets use as a replacement for meat, like you can make tacos out of it or like recipes that usually are made with pork."
2019,Need a plant based protein diet... I’m tired of eating meat
2019,"@ZenaMOBrien But anyway, McDougall says that ketosis is a state associated with sickness in general &amp; cancer in particular. Moreover, politics are involved here: Paleo diet is essentially a counter-move by meat &amp; dairy industries against plant-based trends. They've lost 20% of their business."
2019,@ZenaMOBrien Bottom line for me is intuitive. The arguments that humans have always been plant eaters primarily &amp; only opportunistic meat eaters (as opposed to constant carnivores) makes sense in terms of dentition &amp; stomach structure. Also I have great results when I'm on the plant-based.
2019,"CNBC: Whole Foods CEO on plant-based meat boom: Good for the environment but not for your health.
https://t.co/gzXVQpSKmz

via @GoogleNews"
2019,I’m going to try plant based until my birthday .... at least very limited meat
2019,@TcTcain22 @Hollywood_JT_ @De_La_Drew @_JennHunter @CheechAintShit @KekoMarieee Once again...I never said anything about not eating meat. U generated that yourself. I said a plant based diet is better environmentally due to the fact that the farm industry is emitting a large percent of the pollution.
2019,Beyond Meat Is Cooking Up Plant-Based Bacon @Thrillist https://t.co/Pmrxabvxy0
2019,Is it bad to eat in moderation? 😭I mean I eat healthy foods &amp; plant based foods but I cannot let meat go.
2019,@kaayyydot Thought I could do it but that plant based meat is yucky lol
2019,@actionpackedkbo And they are in shops now!! I made jollof the other day with plant based meat.. it was fire 🔥
2019,My mom and i are the only ones in my house that doesn’t eat meat but somehow the rest of my family will be eating all my non dairy/plant based meals. Like.. what am i supposed to eat
2019,"The headline says Missouri and the text says Mississippi. Either way, y'all are stupid. Read the label.  Boing: Missouri makes it a jailable offense to call plant-based or cultured-meat patties ""burgers"".
https://t.co/0UE2NrO9Vx

via @GoogleNews"
2019,@whataburgerhbcb I just prefer actual meat. I eat plant based plants
2019,@veggie64_leslie The milk industry reported a loss of over a $1billion in sales in 2018. You’d think the farmers would capitalize and get into the plant based milk industry. Same with these cattle ranchers. The popularity of none meat burgers is going to hit them in their pockets really hard.
2019,"@starlettels @oceansinmychest YOU HAS LMAO.

This one is Dad's version, but I'm using the plant based meat for Amy. Will be a first for me."
2019,"@g_slovacek New plant-based, meat-like product growing in popularity https://t.co/r4slCSKg4l"
2019,"@maggymeanders @FatEmperor @realfoodcures @DaveKeto @DeanOrnishMD @DrEsselstyn What has driven people to diabetes and heart disease is PROCESSED plant foods, processed sugar, and inflammatory meat products. WHOLE FOOD PLANT BASED diets have repeatedly been shown to be disease preventing and reverse chronic inflammatory diseases."
2019,"How to make plant-based burgers:

1. Plant a lot of grass 🌱 
2. Plant cows 🐄 on the grass
3. Cows process grass into delicious meat 🥩 
4. Process cows into delicious burgers 🍔"
2019,Arby’s making a meat carrot really doesn’t change the fact that plant based mock meats taste better than every single item on their menu
2019,"#JustNo 

Arby's flips popularity of plant-based 'meat' on its head with 'megetable' https://t.co/gsXEOiFFvT"
2019,"@abecho00 @tvelajr Lol. Double meat combo is about 8-9 bucks at whataburger. Btw, beyond meat burgers (plant based) are delicious"
2019,"Experts say watch these 5 companies clamoring to join the plant-based 'meat' market dominated by Beyond Meat -
https://t.co/94iQip8cLZ"
2019,@Gizmodo How you gonna call it plant based when meat is literally the base
2019,you’re calling it plant based yet it has meat in it.... https://t.co/3RCEImaoam
2019,I would flip if someone gave my sister this yo. Plant based cannot contain meat. https://t.co/puH8CRUi4f
2019,So Burger King is introducing the Impossible Burger (a completely plant based alternative to real meat) by the end of 2019 and I really see this as our future.
2019,“plant based” but it still has .... meat? the math ain’t mathin https://t.co/hdbFUydY1h
2019,"@Wendi_Irlbeck @maxmummolo Please educate yourself about plant-based protein. Many people, including high level and professional athletes, get all the protein they need from plants, without the heart disease, inflammation, and cancer risk from meat and dairy."
2019,I think I’m gonna cut meat completely it makes me feel nauseous 😖 and more plant-based too.
2019,"@michaelpollan Is there any evidence that people who substitute meats for plant-based meat substitutes are less healthy and more obese? Of course not. But if you lump Boca burgers in a category with chips, cookies, ice cream, sodas, and twinkies then you can make that disingenuous argument! https://t.co/PnmeRSEax3"
2019,@QuaGiles @suede_santoro Bruh everytime I eat meat I feel horrible and heavy and sluggish but I literally feel my cells jump for joy when I juice or eat only a plant based diet
2019,Seriously?? Y’all are a plant based burger... no where close to meat?? https://t.co/OFi53HcZNK
