user,date,content
"{'username': 'SustainableUMD', 'id': 23120154, 'displayname': 'SustainableUMD', 'description': '@UofMaryland Office of Sustainability: we highlight & amplify sustainability efforts from all over campus & beyond! 🐢❤️🌎 Retweets/likes ≠ endorsements', 'rawDescription': '@UofMaryland Office of Sustainability: we highlight & amplify sustainability efforts from all over campus & beyond! 🐢❤️🌎 Retweets/likes ≠ endorsements', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 3, 6, 21, 18, 32, tzinfo=datetime.timezone.utc), 'followersCount': 5543, 'friendsCount': 1493, 'statusesCount': 6171, 'favouritesCount': 3693, 'listedCount': 225, 'mediaCount': 1453, 'location': 'College Park, MD', 'protected': False, 'linkUrl': 'http://sustainability.umd.edu', 'linkTcourl': 'https://t.co/GkZDywXnaZ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/747457779288449025/SfX9uusE_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/23120154/1608065094', 'label': None}",2021,"Excited about this upcoming event! Choosing plant based foods more often means lower emissions! Raising livestock requires more land, water and resources compared to plant based protein. It’s also better for our personal health to eat less meat and more plants! https://t.co/X4tzomJt07"
"{'username': 'indeanwetrust', 'id': 1192898185745833984, 'displayname': 'Ange Corleone', 'description': 'I take pics', 'rawDescription': 'I take pics', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 11, 8, 20, 14, 38, tzinfo=datetime.timezone.utc), 'followersCount': 390, 'friendsCount': 336, 'statusesCount': 2553, 'favouritesCount': 5004, 'listedCount': 0, 'mediaCount': 87, 'location': 'NJ', 'protected': False, 'linkUrl': 'https://instagram.com/indeanwetrust?igshid=usne69pe9mcv', 'linkTcourl': 'https://t.co/iBTQsVQzGg', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1451061350113890304/fT3duIgs_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1192898185745833984/1611278758', 'label': None}",2021,Why do people that eat plant based look down on people that eat meat ?
"{'username': 'ShayCromac', 'id': 904756145021214720, 'displayname': 'Shay\xa0Patrick\xa0Cormac', 'description': 'Christian, politically homeless, former atheists, gamer, godzilla and astronomy nut. living in the backwoods of Pennsylvania. 34 years old', 'rawDescription': 'Christian, politically homeless, former atheists, gamer, godzilla and astronomy nut. living in the backwoods of Pennsylvania. 34 years old', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 9, 4, 17, 20, 49, tzinfo=datetime.timezone.utc), 'followersCount': 248, 'friendsCount': 475, 'statusesCount': 66147, 'favouritesCount': 85501, 'listedCount': 2, 'mediaCount': 4357, 'location': 'Martinsburg, PA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/904757943324770306/L9XTdy3A_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/904756145021214720/1509326771', 'label': None}",2021,@ThursdayGem I heard the plant based stuff is less healthy than actual meat because of all the stuff they put in it to make it taste like meat.
"{'username': 'SHI_America', 'id': 897531450, 'displayname': 'SHI North America', 'description': 'New Jewish thinking, transformative teaching - all in the service of improving Jewish life through ideas. Follow us and the mother ship - @Hartman_Inst.', 'rawDescription': 'New Jewish thinking, transformative teaching - all in the service of improving Jewish life through ideas. Follow us and the mother ship - @Hartman_Inst.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 10, 22, 13, 5, 9, tzinfo=datetime.timezone.utc), 'followersCount': 1720, 'friendsCount': 1084, 'statusesCount': 4579, 'favouritesCount': 2294, 'listedCount': 31, 'mediaCount': 446, 'location': 'New York', 'protected': False, 'linkUrl': 'https://www.hartman.org.il/', 'linkTcourl': 'https://t.co/7I5aChkq0y', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1235971481034723328/D4at48mS_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/897531450/1616435689', 'label': None}",2021,Does plant-based meat make keeping #kosher irrelevant? What are the consequences for halacha? Is this decision healthy for Rabbinic #Judaism? David Zvi Kalman dives into these issues w @YehudaKurtzer on #identitycrisispod. Listen now: https://t.co/TwLwF4WvlW https://t.co/dBnK6fB1ld
"{'username': 'IMWHorvitz', 'id': 97584391, 'displayname': 'The Real Dr. Steven Horvitz', 'description': 'Founder of the Institute for Medical Wellness. 1st DPC practice in NJ. Looking for Root causes of health/disease. therealdrstevenhorvitz.substack.com', 'rawDescription': 'Founder of the Institute for Medical Wellness. 1st DPC practice in NJ. Looking for Root causes of health/disease. https://t.co/LSNzJllsHA', 'descriptionUrls': [{'text': 'therealdrstevenhorvitz.substack.com', 'url': 'https://therealdrstevenhorvitz.substack.com', 'tcourl': 'https://t.co/LSNzJllsHA', 'indices': (114, 137)}], 'verified': False, 'created': datetime.datetime(2009, 12, 18, 3, 7, 6, tzinfo=datetime.timezone.utc), 'followersCount': 7686, 'friendsCount': 1844, 'statusesCount': 21659, 'favouritesCount': 7071, 'listedCount': 178, 'mediaCount': 1924, 'location': 'Moorestown, NJ', 'protected': False, 'linkUrl': 'http://www.drhorvitz.com', 'linkTcourl': 'https://t.co/vDvSOg2zd7', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1395186222763585544/6gjfoL3y_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/97584391/1590118294', 'label': None}",2021,@ESodicoffMD We dont need more politics in nutrition. Probably a set up for the demonization of meat and luv of plant based diet. #It’s-A-Trap
"{'username': 'dahraj', 'id': 15212110, 'displayname': 'Dahraj', 'description': 'Life Is Never Not Now (Tolle)', 'rawDescription': 'Life Is Never Not Now (Tolle)', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2008, 6, 23, 21, 25, 24, tzinfo=datetime.timezone.utc), 'followersCount': 276, 'friendsCount': 215, 'statusesCount': 2330, 'favouritesCount': 1291, 'listedCount': 0, 'mediaCount': 157, 'location': 'Texas, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/678630674023059456/uNE7zkYF_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/15212110/1434726753', 'label': None}",2021,@danial_shah1 @DeTrop_ Heard chicken tenders by beyond meat is worth trying. Already a fan of their plant based beef burger.
"{'username': 'Charlitos1274', 'id': 1445545436857573384, 'displayname': 'Charlie Pitcock', 'description': 'National Sales Manager, Single Father, Cleveland Sports lover, Yogi, Active, playful and fun. Baker Mayfield skeptic', 'rawDescription': 'National Sales Manager, Single Father, Cleveland Sports lover, Yogi, Active, playful and fun. Baker Mayfield skeptic', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 10, 6, 0, 24, 41, tzinfo=datetime.timezone.utc), 'followersCount': 12, 'friendsCount': 86, 'statusesCount': 417, 'favouritesCount': 565, 'listedCount': 0, 'mediaCount': 3, 'location': 'Cleveland, OH', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1453926545899261954/vfygtgJY_normal.jpg', 'profileBannerUrl': None, 'label': None}",2021,"@ByJasonLloyd How bout PETA work on getting more “meat-free” options at the baseball stadiums cause there’s a s$&amp;t load of meat sold at these games. With the growth of plant-based foods, this would be more sensible and sustainable vs a simple name change."
"{'username': 'immarywatson', 'id': 826655848613060608, 'displayname': 'Mary Watson', 'description': 'I am F&B expert in GMI', 'rawDescription': 'I am F&B expert in GMI', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 2, 1, 4, 58, 7, tzinfo=datetime.timezone.utc), 'followersCount': 293, 'friendsCount': 92, 'statusesCount': 2974, 'favouritesCount': 164, 'listedCount': 0, 'mediaCount': 0, 'location': 'Delaware, USA', 'protected': False, 'linkUrl': 'https://www.gminsights.com/', 'linkTcourl': 'https://t.co/dwJ5H2LqDz', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/826661571166298112/oO0_I_lI_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/826655848613060608/1602147237', 'label': None}",2021,"#US Plant Based Meat Market to hit $4.15 billion by 2026.

Key industry players are:
Morning Star Farms
Beyond Meat
Impossible Foods
Maple Leaf Foods Inc
Amy's Kitchen
Pinnacle Foods

Read More @ https://t.co/T481ij5ksP

#us #plantbasedmeat #plantbasedmeatmarket"
"{'username': 'SamsonMadella', 'id': 225533301, 'displayname': 'Samson Madella', 'description': 'copywriter by day, copywriter by night. erstwhile rockstar. contributor @pointsincase', 'rawDescription': 'copywriter by day, copywriter by night. erstwhile rockstar. contributor @pointsincase', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 12, 11, 20, 24, 1, tzinfo=datetime.timezone.utc), 'followersCount': 513, 'friendsCount': 2681, 'statusesCount': 443, 'favouritesCount': 2385, 'listedCount': 2, 'mediaCount': 8, 'location': 'Brooklyn, NY', 'protected': False, 'linkUrl': 'http://www.samsonmadella.com', 'linkTcourl': 'https://t.co/MzjYQmfqeK', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1156769475917766659/LT4PzS3e_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/225533301/1558245712', 'label': None}",2021,"""Our CEO is made from plant-based meat, our CCO assembled by a 3D printer and lastly our CSO, built entirely from ocean plastic. We are storydoers!"""
"{'username': '1PlantBasedPapi', 'id': 223774378, 'displayname': 'Organic Hoochie 🥭', 'description': '1911 🐶 ... Free Your Mind And Your Ass Will Follow ... Aries Baby', 'rawDescription': '1911 🐶 ... Free Your Mind And Your Ass Will Follow ... Aries Baby', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 12, 7, 8, 55, 44, tzinfo=datetime.timezone.utc), 'followersCount': 1451, 'friendsCount': 1239, 'statusesCount': 51399, 'favouritesCount': 1689, 'listedCount': 2, 'mediaCount': 1043, 'location': 'Mars', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1409916589877645319/QQSfaTIq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/223774378/1596556786', 'label': None}",2021,"@2nd2NONE_09 @KillaInstinct15 I just make the standard sides w/o meat, it ain’t gotta be fancy."
"{'username': 'karonliu', 'id': 52512464, 'displayname': 'Karon Liu', 'description': ""Reporter (mostly food) for @TorontoStar. He/him instagram.com/karonliu Email: karonliu@thestar.ca (It's pronounced Kar-On)."", 'rawDescription': ""Reporter (mostly food) for @TorontoStar. He/him https://t.co/RqIOpndmVd Email: karonliu@thestar.ca (It's pronounced Kar-On)."", 'descriptionUrls': [{'text': 'instagram.com/karonliu', 'url': 'http://instagram.com/karonliu', 'tcourl': 'https://t.co/RqIOpndmVd', 'indices': (48, 71)}], 'verified': True, 'created': datetime.datetime(2009, 6, 30, 20, 37, 9, tzinfo=datetime.timezone.utc), 'followersCount': 14100, 'friendsCount': 1059, 'statusesCount': 46007, 'favouritesCount': 10987, 'listedCount': 278, 'mediaCount': 5672, 'location': 'Toronto, ON', 'protected': False, 'linkUrl': 'https://www.karonliu.com/', 'linkTcourl': 'https://t.co/hcs7DkcnbT', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/983414270640574464/mRIRPeYP_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/52512464/1412303787', 'label': None}",2021,"I think the one time where I'm like, OK this makes sense, was when McDonald's was testing their fake meat burger because it was during the plant-based space race among fast food giants but where did that go, really?"
"{'username': 'lilah_burke', 'id': 771443556116463622, 'displayname': 'Lilah Burke', 'description': 'freelance reporter 🌺  bylines: @insidehighered, @newrepublic, @revelator_news, @wcp, @washingtonian 🌿 lilah.rose.burke@gmail.com', 'rawDescription': 'freelance reporter 🌺  bylines: @insidehighered, @newrepublic, @revelator_news, @wcp, @washingtonian 🌿 lilah.rose.burke@gmail.com', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 9, 1, 20, 24, 11, tzinfo=datetime.timezone.utc), 'followersCount': 667, 'friendsCount': 1427, 'statusesCount': 334, 'favouritesCount': 9066, 'listedCount': 24, 'mediaCount': 16, 'location': 'NYC', 'protected': False, 'linkUrl': 'http://lilahburke.com', 'linkTcourl': 'https://t.co/WeGwAVrXTQ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1312758597668016131/_DGeBYuf_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/771443556116463622/1599696090', 'label': None}",2021,"For @VegTimes I wrote about what beyond meat's bad sustainability ratings mean and don't mean. Plant-based corporations aren't going to save the world, but it's worth having some perspective about how they compare to the alternatives
https://t.co/QdWnNYfv2D"
"{'username': 'factotem', 'id': 4368161, 'displayname': 'david bloom', 'description': 'jazz standards, ballads, lounge, and scat', 'rawDescription': 'jazz standards, ballads, lounge, and scat', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2007, 4, 12, 15, 22, 7, tzinfo=datetime.timezone.utc), 'followersCount': 287, 'friendsCount': 235, 'statusesCount': 1150, 'favouritesCount': 154, 'listedCount': 16, 'mediaCount': 176, 'location': 'chelsea, michigan', 'protected': False, 'linkUrl': 'http://www.factotem.com', 'linkTcourl': 'https://t.co/KABo4JIgMP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1059447449603854336/Dp5rbJcc_normal.jpg', 'profileBannerUrl': None, 'label': None}",2021,"I'd pay good money if @MikesInChelsea made this sammy with plant-based ""corned beef."" I want a Reuben. So Bad. I love meat. Meat don't love me. https://t.co/wrIYb0eT4k"
