date,content
2021,"NATERA Plant-Based, Meat Alternative Entrees Now Available in Denny’s Restaurants Across Canada $NSPDF https://t.co/mMXxvQg9Hx"
2021,"NATERA Plant-Based, Meat Alternative Entrees Now Available in Denny’s Restaurants Across Canada https://t.co/an8jAD8Kix"
2021,Beef sausage patties should be standard everywhere. A lot of people don’t eat pork. 🙄 And no I don’t want your plant based “meat” instead. Just give me the cow.
2021,When are we gonna have meat-based plants https://t.co/zMY1G3UQWk
2021,~Here is my mandatory I am plant based af but I eat meat sometimes for Mexican reasons tweet
2021,"Since the start of 2015, venture funds and others have invested $9.2 billion in alt-protein startups worldwide. Roughly $2.6 billion of that has been invested in plant-based meat companies.

https://t.co/OCNWZMkh87"
2021,"California is home to the highest concentration of the 600+ companies worldwide dedicated to producing alt-proteins.

Half were founded since the start of 2015. 

At least 55 plant-based &amp; 11 cultured-meat alt-protein companies are headquartered here.

https://t.co/OCNWZMkh87"
2021,"In the last few years, two California companies have dominated the headlines about alt-proteins.

Los Angeles-based Beyond Meat launched its plant-based meats in 2012; San Francisco’s Impossible Foods burger followed in 2016.

https://t.co/OCNWZMkh87 https://t.co/FMKT5RXvSB"
2021,"About $2.6 billion has been invested in companies focused on plant-based meat worldwide in a six-year period ending in September 2021.

Now, young innovators are pushing the movement forward.

https://t.co/As8wT2Hupl"
2021,"Yes, you can really order 100% plant-based, cruelty-free human meat from the Vegan Cannibal Steakhouse in NYC right now on @Postmates. 

LA orders start at noon PT. So whatever you’re craving, eat what you love without killing anyone! https://t.co/wgWxhcCHJ3 https://t.co/1oB040LeRq"
2021,"We generally have plant-based menus and impossible meat tacos for lunch on campus, but today there's this: ""DONUT CHIPOTLE CHICKEN SANDWICH: glazed donut, fried chicken, jalapeño, bacon, fried egg, chipotle sauce.""

Ah, the extremes of California hipster food..."
2021,i think i’m just gonna become plant based. meat just doesn’t agree with me anymore. no hetero.
2021,"We believe that human meat is murder. That's why we're launching the Vegan Cannibal Steakhouse that only serves 100% plant-based, cruelty-free human. Order today only in New York or LA exclusively through @Postmates // See menu: https://t.co/wgWxhcCHJ3 https://t.co/tdVxNT5V0y"
2021,"Shiru Closes $17M Series A to Develop Novel Plant-Based Food Ingredients
https://t.co/u1RzouYGjr
Biotech startup's patent-pending discovery platform combines ML and biofermentation to produce plant-based alternatives to eggs, meat, dairy, and gelatin--using a fraction of the land"
2021,"Shiru Closes $17M Series A to Develop Novel Plant-Based Food Ingredients
https://t.co/WxeYqfbMBV
Biotech startup's patent-pending discovery platform combines ML and biofermentation to produce plant-based alternatives to eggs, meat, dairy, and gelatin--using a fraction of the land"
2021,feels like plant-based meat 🌱 🍖 is really having a month…excited to try this @BeyondMeat orange chicken at @PandaExpress! https://t.co/YkTESpqE0K
2021,"Shiru Closes $17M Series A to Develop Novel Plant-Based Food Ingredients
https://t.co/amoUkzGEhM
Biotech startup's patent-pending discovery platform combines ML and biofermentation to produce plant-based alternatives to eggs, meat, dairy, and gelatin--using a fraction of the land"
2021,"What's #Best today on https://t.co/MPGyvaz2Cm ?
What’s The Future Of Food? : The Economist
https://t.co/E1WpBAv7Ws
#business #economist #theeconomist #economistfilms #futuretechnology #climatechange #economistvideosyoutube #food #plant #plantbasedmeat https://t.co/3rR2Tu2uiP"
2021,"EXACTLY!

They're nutritionally and chemically far worse than actual meats. And the sodium content in them is out of this fucking world! I wonder if the plant based meat companies also own several salt mines!! Either that or they were developed by the sadist who invented MREs! https://t.co/1yK9zwrvTS"
2021,"@khloekardashian , your headaches probably stem from your diet - NO meat , begin a regiment of greens and legumes - Plant-based diet"
2021,"Animal meat vs. plant-based meat vs. cultured meat? My take on the meat wars and why we don't have to compromise taste for the environment. (hint: plant-based and cultured meat are red herrings, the real solution is regenerative meat)
https://t.co/cvIi9fwg5J
@REGENETARIANISM"
2021,Stop eating plant based meat. https://t.co/m0Nn8v3saz
2021,"Gates is laughing at this dolt, because he just ate a piece of ""plant based"" meat with human cells in them.  Beyond meat contains human cells.  Soylent Green !!! https://t.co/txs9duksa9"
2021,"I would dare to say that even if you're still at a stage where you're transitioning from meat-eating to vegetarian to plant-based,

IF your *genuine intent* is to learn how to phase out any animal products you can, you're vegan -- time to learn + adapt is a practical limitation. https://t.co/6Ue7jDylqY"
2021,Plant based meat is an oxymoron https://t.co/BhgYlOqtTa
2021,@exjon My meat is plant based. It’s grass fed.
2021,I want to try having a full plant based diet and see how my body really shapes out and how it differs from a meat diet in my body’s progression… hmmm
2021,You can invite anyone over for a plant-based dinner party. Who are you inviting and what are you making? 👇
2021,"A morning meditation:

Dear impossible meat, I thank you for being a forerunner! You made a way to plant based when there was no way but now it’s time to move BEYOND, to a new realm of the POSSIBLE. Oh Beyond meat, we hail thy greatness &amp; welcome a future w/ less saturated fats🙏🏾 https://t.co/w73ftyuAZ7"
2021,"McDonald’s has launched a plant-based burger in partnership Beyond Meat in 8 markets including El Segundo (home of Beyond Meat) and Manhattan Beach beginning Nov. 3rd for a limited time

Their fries are still made with beef fat"
2021,"Plant-based meat entrepreneurs launched the alternative-protein movement, and cultured meat scientists followed. 

Now there’s another group of innovators who hope a third realm of life — fungi.

https://t.co/tqYzG5UajJ"
2021,"People are responding to this as if I eat meat 
I’m literally just tired of “beans and rice” bring the go-to answer for low-income plant based people. https://t.co/eXgrLxgwd1"
2021,How Beyond Meat’s Success Made Plant-Based Substitutes Mainstream via @latanabrand https://t.co/3ycRjCnWi2
2021,"@bigskybabs @crazygood1956 I’m 53, eat highly plant based, no meat, very little cheese, drink water &amp; some red wine on weekends."
2021,"A journalist recently toured our fermentation facility. 

His take on our Rhiza mycoprotein burgers? 

""The flavor and texture of its burgers were better than any other plant or fungi-based meat alternative I have tried.""

https://t.co/NkhmstwGjo"
2021,"After 2000+ years of patriarchy, authoritarianism, and a destructive meat/fossil/extractive economy humans are reclaiming the plant based diet/medicine/sacrament/economy that sustained us and kept us in balance with the planet for 10000+ years."
2021,Should there be a tax on eating meat and dairy products? Chef’s manifesto for a carbon-neutral food industry - and plant-based recipes to help us play our part - South China Morning Post https://t.co/9m5VldLKKK
2021,"Most Americans can’t afford to eat farm-to-table; they eat meat from factory-farm animals. It appears plant-based and cultured meat, at least, avoid the antibiotics and food-borne illnesses endemic to cheaper meat.

https://t.co/CBQURQQS7m"
2021,"“We think plant-based is the way to go, but there’s a lot of work to be done to improve these existing products and make them more appealing to people,” said Richardo San Martin, co-founder of Alt: Meat Lab.

https://t.co/PaCnuoA8WA"
2021,"Woody Harrelson And Owen Wilson Invest In Plant-Based Meat, And More Vegan Celebrity News - Plant Based News https://t.co/ai4Yo4GmwC Thank You"
2021,"@transscribe Um, they prefer to be called, Plant-Based Vegan Meat."
