date,content
2021,"Vegans Report Higher Depression and Anxiety Than Meat Eaters: Analysis. Well, finding plant based meals at restaurants will drive anyone over the edge. https://t.co/lfdjFNbdVB"
2021,Can't wait to try Plant-Based Meat from @abbotsbutcher! Try it for FREE with @socialnature to share your social media review. #trynatural #abbotsprotein #cleaneating #plantbased https://t.co/mnqAYbzn7o
2021,"The company @planted has been conquering Switzerland for a few years with a natural, plant-based meat alternative, which can now be found in most Swiss supermarkets. 🍖

#swisstech #foodtech
 https://t.co/T1hZ97JWey"
2021,"@Unabogie @sunnysongbird @navin391 @AngryBlackLady Doesn’t matter. More people go plant based, farm workers have more food to pick. It’s cause and effect. Your way of life does just as much harm as someone who eats meat."
2021,"@ErikaU0525 @TiMoudou Eat colorful food, reds and greens, yellow, blue. Eat some meat but mostly plant based"
2021,"Call me old fashioned, but I prefer vegetarian to “plant based”. I’ve had a few “boca burgers” before, but this “plant based” fake meat stuff, no thank you.🤢🤮 I would rather eat a grilled portobello mushroom burger than that “impossible meat” stuff. Reminds me of #SoylentGreen."
2021,@2ndcitydigest I think it’s unlikely any of the larger meat companies successfully execute a project launching plant based meat.  It’s a totally different manufacturing process and requires a lot of r&amp;d iterations.  Disrupting your own revenue streams is a difficult task.
2021,@CoderInCrisis @Gormogons Works for collards &amp; plant based 'meat.'
2021,plant based lunch meat hittin
2021,@Ricardog711 @JoustingJim @AP I ain't a grazer for I don't eat plant based meat.(if anything I should probably be eating less meat😅)I am just saying you gotta have a really fucking sensitive and fragile masculinity for a non chicken nugget to break it
2021,@hintofspy @JulFromFL @erwinmascardo Would be nice if they accommodated both. I eat real meat too and also like to be plant based with actual ding dang vegetables. There used to be both fake meat and a veggies entree on the menu.
2021,"@Daddy_Deem I need to change something up, I lost 30-35 lbs but I plateaued… I’m looking into plant based meat for sure"
2021,"@Daddy_Deem Dude, I give you credit… I think eventually I’m gonna start something like meatless Monday’s and go with plant based meat"
2021,@pizzahut for the LOVE OF GOD. Can you just do vegan Cheez already?? Lmaoo. You literally have it in the UK why can’t you have it here?? Some of us are vegans AND allergic to dairy. Like??? What’s the point of plant based meat options if the vegans still can’t eat it?? Lol
2021,"@suxelamai Everyone saying they ""tried"" it once when they find out i'm vegan. Like obviously they just did the plant based portion of it bc even when i didn't know how to cook shit and really didn't enjoy eating vegan i didn't switch back to meat"
2021,"@bonnienorman Respectfully disagree.  The transition to sustainable energy, along with other changes like plant based and lab based meat will greatly increase the planet’s carrying capacity."
2021,@dstiddypop43 Plant based meat.
2021,"@Tekneek Yeah for sure. I also am just trying to reduce how much meat I consume. Plus, #thisfloridapreschooler has allergies which we tend to avoid with plant based options"
2021,"Me- is plant based 🌱🌿🍃 
🤝 
also me- dates someone who eats meat &amp; has to cook steaks daily 🥲😵‍💫🤢"
2021,".@incogmeato? Why would I want to buy 100% plant-based protein that looks, cooks &amp; tastes like meat? Why am I a vegetarian for? #IMO https://t.co/KzN5y9nhZE"
2021,@TheeBurgerDude @lunannr @LetsGoGoose @VeryGoodButcher - Is the best plant-based alternative meat out there. Superior to both Impossible and Beyond. https://t.co/cwqgAHIRLh
2021,"@FulkKaia @suxelamai people can call themselves plant based or just be meat eaters who mainly eat plant based but have animal products every now and then, thats fine. they shouldnt call themselves vegan though. this is why people think they can feed vegans nonvegan items🙄 labeling is important"
2021,"@JenDifatta @ddale8 We cut back before &amp; it was a patriotic thing to do. But no one but no one in Biden admin is even suggesting we do this now. 
As for the fox beer lie, beer has always been plant based. If you think beer contains meat, you're cut off. No beer for you. https://t.co/ykmYGHRfis"
