date,content
2021,"@AlisonWildlife @studiomutt @Starbucks You just reminded me. I need to go trademark “Meat Based Plant” 

OK, horrible joke but I live by the rule that if there wasn’t Twitter, that bomb would have come out of my mouth so I must own it. 🙁"
2021,"@mrmarkdolan Bravo!  What you said about the nonsense being put out there about meat and veganism is spot on, on every point. Have these people never read the ingredients that go into their plant-based whatever?  It's horrendous, represents endless food miles, and tastes vile."
2021,"Many people are trying plant-based diets simply because they believe that eating meat is bad for the environment. Before you hop on the trend, check out this blog post that gives you the facts. https://t.co/pNiPq2r8TR"
2021,@TheMetalGay1 @ben_rios82 @Ordinary1World Impossible meat tastes more like beef than any other plant-based meat. I know many people who have tried the one from Burger King and couldn't even tell the difference.
2021,"Plant based meat? Pass. I'll stick to deer based meat, cow based meat, chicken based meat, and other traditional based meat sources. I'll throw in some fish and seafood for variety. However as far as plants go, they are only there to keep us regular."
2021,There’s no such thing as plant-based meat. https://t.co/OftPPwclVa
2021,@DietHeartNews Sorry no plant based thing posing as meat will ever taste the same as steak 🥩
2021,"PSA that plant based alternatives are full of synthetics, chemicals, and even their soy content has exponentially more estrogen and greater health implications than any amount of meat you could ever comfortably consume. If you want something safe on your plate, it’s not PBMAs. https://t.co/fEtVuJ1uw4"
2021,"Bill Gates can keep his plant based meat and soybean fields

Personally, I will still be eating steak https://t.co/NZ7GOY1MdB"
2021,"@JackPosobiec Because plant based meat messes with your hormones, making you have too much estrogen. That's what they want. Carnivores are going to go full Lion over this."
2021,Bill Gates’ physique brought to you by plant-based meat. Truly inspiring 🙌🏼 https://t.co/ZCMIm2anKr
2021,"@JackPosobiec Isn't all meat ""plant-based meat"" though, technically speaking? You feed lettuce to the pig, so it can turn it into bacon, no?"
2021,"@Dot21280827 @SwampCommunist And you missed the point. wealth and meat consumption are directly proportionate. The poorer the region, or person, typically the less meat they consume. So an argument for privilege almost always leans plant based. But let's review your stance shall we?"
2021,"Plant based products associated to Bill Gates (Beyond-meat for example) contain *Graphene* and bio oil. Be careful with anything related to Bill Gates.
https://t.co/B9huGzYAez
#HoldTheLine https://t.co/BJqwRXPthN"
2021,"Giving up meat for a plant-based diet can be easier than you think, whether you’re going vegan to save the animals or you’re all about clean living.

Veganism doesn’t have to be overly expensive or boring either.  Learn more: 

https://t.co/UhOKOeC0lx https://t.co/BOs9o04wDi"
2021,"@RebelsAnimal So once we all cut meat and go full plant based. They drop this https://t.co/cP4cYwSdTa
And then it’s lab grown plants and ‘meat’ from here till eternity!!?"
2021,I’ve literally been back majority plant based with meat on the weekends when i tell you weight drops off fast af 🙃
2021,"@AngryBlackLady I mean, to be fair, militant meat eaters come for vegans a lot more aggressively online than the reverse, in general. But, still...there is a certain subset of vegans that are working hard to make plant-based diets seem insane."
2021,"McDonalds tiptoeing into the PlantBased market.

The McPlant, featuring a plant-based patty created in partnership with Beyond Meat, will be available at eight restaurants for a limited time starting November 3.  https://t.co/npukjNE9FJ"
2021,"@0ctoberReignz ""Beefy Red Sores"" sounds like what plant based meat is grown from.  Your next steak dinner.  Hidden is plain sight!"
2021,"@colTom106 I just recently began eating plant based ""meat"". I was shocked at how tasty it was. I think of myself as a discerning omnivore. I have to admit I may have been wrong about plant based ""meat"". I'll have to explore further 😊"
2021,@pancakeliberty I eat plant based meat a lot and I still don’t get the video lol
2021,"Why I pay this lady $45 for her to send me a plan all with fucking protein shakes, bars, meat and dairy??? Bitch I said PLANT BASED"
2021,"I haven’t made Taco Tuesday since we went meat-free at home in 2020 but we tried @gardein ground beef tonight and omg. It’s so good!

(feat. @HEB’s mixla tortillas because they’re the best. And Moocho plant-based cheese because it rules, too.) https://t.co/eAhgQiRWcX"
2021,1. Seafood is meat. Idk why people try to separate them. 2. All plant based meats are abominable 😭 https://t.co/vpz1rXOcpn
2021,"plant-based and avoid red meat

👉 When people live on processed foods instead of whole foods

👉 When they don’t go outside and get sun and exercise

Basically when humans live in “captivity” like pets

__

Except it’s likely not true for the majority of the people reading this"
2021,"Stop calling plant based meat, meat. It’s not."
2021,"@aduran0723 @avalonpenrose You don't need to eat meat. I'm definitely not anti-meat or anything,  but you can survive off a plant-based diet."
2021,"UNITED NATIONS

Has been instrumental in global propaganda campaigns against red meat and promoting plant-based highly processed diets. Most notable the EAT Lancet project

https://t.co/AUyqMJO4Ex"
2021,It’s so many chemicals if you gone go vegan eventually stop with the process  plant based meat and elevate to all natural freshly grown tings. I feel like beyond meats are like the stepping stone to “veganism” 🍃 https://t.co/r3lcG5oJhr
2021,"@TrilliumLaura @offofthecouch @ECMcLaughlin Seriously. A shift toward plant-based diets is one of the least expensive ways to make a difference. Even subbing out meat a couple of days a week adds up! Meat production takes a lot of land, water, and energy."
2021,"@Angrynuwupotato Handling realities is my specialty. And although yes, your method of eating meat is somewhat better than others. It physically is not possible to be more sustainable than the most sustainable plant based lifestyle. And thats just mathematics, objective truth."
2021,@dvdpeters I will show consideration for my plant based neighbors by not shoving ham down their throat and not ridiculing them for avoiding meat (because there is nothing to ridicule). But I will continue to cook in my home and open/close windows at will.
2021,never understood why vegans eat plant based foods that are literally made to taste like meat
2021,@Vonna_mariee Some vegan meat is soy based too . So basically tofu and I know it sounds bad but it can be made different ways and I really like it . Chipotle has a plant based option called sofritas and it’s really good
2021,I see why I was opting for plant based meals when I meal prepped a couple years back. I hate the smell of raw meat. Never smelled uncooked ground turkey before today. 😷😷😷
2021,"Fresh meat 🥩 
Fresh eggs 🥚 
Fresh veggies 🌽 
Fresh fish 🐠 
Fresh sushi 🍣 
Fresh steamed rice 🍚 

Stay away from “plant based by-products” (that includes vegan) created in labs, processed in large corporate plants.  Cook your own food.   Your stomach is not political."
