user,date,content
"{'username': 'katherine_klish', 'id': 1453601890697195524, 'displayname': 'Katherine Klish', 'description': 'She/Her | Strategic Communicator | University of Missouri ‘24 | Social Media Strategist for @relevant_youth_ | Member of @aafmizzou kek8dn@umsystem.edu', 'rawDescription': 'She/Her | Strategic Communicator | University of Missouri ‘24 | Social Media Strategist for @relevant_youth_ | Member of @aafmizzou kek8dn@umsystem.edu', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 10, 28, 5, 57, 59, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 33, 'statusesCount': 6, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 0, 'location': 'Chicago, IL', 'protected': False, 'linkUrl': 'https://www.instagram.com/katherineklish/', 'linkTcourl': 'https://t.co/PdmVFQlHUi', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1453602101062418435/amMoNSqY_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1453601890697195524/1635468339', 'label': None}",2021,"An interesting decision here for the company Oumph!, a Swedish plant-based food producer. Keeping in the spirit of Halloween, Oumph! advertises their plant-based burger as a ""human meat burger"". I am afraid this ad may be a little too frightening for their target market ... https://t.co/eM6qIikJuj"
"{'username': 'justfreestuff', 'id': 41037134, 'displayname': 'Just Free Stuff', 'description': 'JustFreeStuff.com', 'rawDescription': 'http://t.co/CYjVdl602s', 'descriptionUrls': [{'text': 'JustFreeStuff.com', 'url': 'http://www.JustFreeStuff.com', 'tcourl': 'http://t.co/CYjVdl602s', 'indices': (0, 22)}], 'verified': False, 'created': datetime.datetime(2009, 5, 19, 2, 42, 56, tzinfo=datetime.timezone.utc), 'followersCount': 53862, 'friendsCount': 29463, 'statusesCount': 66205, 'favouritesCount': 46, 'listedCount': 236, 'mediaCount': 12164, 'location': 'Chicago', 'protected': False, 'linkUrl': 'http://about.me/JamesBarton', 'linkTcourl': 'http://t.co/snb08YDNbH', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1079612992612954112/LSQ-h6c8_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/41037134/1579058306', 'label': None}",2021,"Social Nature - Free Abbot's Butcher Plant-Based Meat
https://t.co/ZrfTYwqc4A https://t.co/ARxVtC2VKZ"
"{'username': 'Hunt4Freebies', 'id': 15193461, 'displayname': 'Hunt4Freebies', 'description': 'Find #freebies, #freesamples, #beautysamples, #deals, #freestuff #coupons, #sweepstakes, instant win games and much more. 💕 facebook.com/Hunt4Freebies', 'rawDescription': 'Find #freebies, #freesamples, #beautysamples, #deals, #freestuff #coupons, #sweepstakes, instant win games and much more. 💕 https://t.co/wT6lxxNwWi', 'descriptionUrls': [{'text': 'facebook.com/Hunt4Freebies', 'url': 'http://facebook.com/Hunt4Freebies', 'tcourl': 'https://t.co/wT6lxxNwWi', 'indices': (124, 147)}], 'verified': False, 'created': datetime.datetime(2008, 6, 21, 23, 35, 17, tzinfo=datetime.timezone.utc), 'followersCount': 22632, 'friendsCount': 1982, 'statusesCount': 93478, 'favouritesCount': 5, 'listedCount': 278, 'mediaCount': 7, 'location': 'Chicago', 'protected': False, 'linkUrl': 'http://www.hunt4freebies.com', 'linkTcourl': 'http://t.co/NAYq39Jr7t', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2327114165/zs28tepiy7mceebv3pp4_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/15193461/1462382015', 'label': None}",2021,Possible FREE Abbot’s Butcher Plant-Based Meat https://t.co/vaZndgQL9v
"{'username': 'SPINSllc', 'id': 703358202042122241, 'displayname': 'SPINS', 'description': 'SPINS is a wellness-focused data technology company and trusted advocate for the natural products industry.', 'rawDescription': 'SPINS is a wellness-focused data technology company and trusted advocate for the natural products industry.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 2, 26, 23, 17, 17, tzinfo=datetime.timezone.utc), 'followersCount': 1628, 'friendsCount': 4924, 'statusesCount': 2538, 'favouritesCount': 1919, 'listedCount': 23, 'mediaCount': 774, 'location': 'Chicago, IL', 'protected': False, 'linkUrl': 'http://www.spins.com', 'linkTcourl': 'https://t.co/cDf7AW12iz', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1439328083866161154/1BeH29NX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/703358202042122241/1589984038', 'label': None}",2021,"A few years ago, plant-based meat makers often faced an uphill challenge in just getting consumers to try their products, but in 2020, 18% of US households were buying plant-based meats, up from 14% the previous year, according to SPINS data. https://t.co/3k4PcYWbKg"
"{'username': 'DianaKolaski', 'id': 1259987466632691715, 'displayname': 'diana kolaski', 'description': 'Anti-theist, Atheist. Nonmoral. Unreligious.  Anti-Zionist. Meat eschewing. Cafephile. No harm to , no killing of animals. Near my seniority.', 'rawDescription': 'Anti-theist, Atheist. Nonmoral. Unreligious.  Anti-Zionist. Meat eschewing. Cafephile. No harm to , no killing of animals. Near my seniority.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 5, 11, 23, 28, 9, tzinfo=datetime.timezone.utc), 'followersCount': 272, 'friendsCount': 644, 'statusesCount': 8260, 'favouritesCount': 7400, 'listedCount': 1, 'mediaCount': 1042, 'location': 'Chicago, United States', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1354983515302060032/ijTgXpZ3_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1259987466632691715/1629389370', 'label': None}",2021,Oumph! presents: The Human Meat Plant Based Burger https://t.co/KSm1RBR5QE via @YouTube
"{'username': 'factotem', 'id': 4368161, 'displayname': 'david bloom', 'description': 'jazz standards, ballads, lounge, and scat', 'rawDescription': 'jazz standards, ballads, lounge, and scat', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2007, 4, 12, 15, 22, 7, tzinfo=datetime.timezone.utc), 'followersCount': 287, 'friendsCount': 235, 'statusesCount': 1150, 'favouritesCount': 154, 'listedCount': 16, 'mediaCount': 176, 'location': 'chelsea, michigan', 'protected': False, 'linkUrl': 'http://www.factotem.com', 'linkTcourl': 'https://t.co/KABo4JIgMP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1059447449603854336/Dp5rbJcc_normal.jpg', 'profileBannerUrl': None, 'label': None}",2021,"I'd pay good money if @MikesInChelsea made this sammy with plant-based ""corned beef."" I want a Reuben. So Bad. I love meat. Meat don't love me. https://t.co/wrIYb0eT4k"
"{'username': 'BlockClubCHI', 'id': 552151606, 'displayname': 'Block Club Chicago', 'description': 'Reader-supported nonprofit newsroom delivering essential coverage of Chicago’s neighborhoods.', 'rawDescription': 'Reader-supported nonprofit newsroom delivering essential coverage of Chicago’s neighborhoods.', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2012, 4, 12, 20, 35, 21, tzinfo=datetime.timezone.utc), 'followersCount': 147931, 'friendsCount': 1121, 'statusesCount': 97300, 'favouritesCount': 5119, 'listedCount': 1816, 'mediaCount': 61430, 'location': 'Chicago, Illinois', 'protected': False, 'linkUrl': 'https://blockclubchicago.org/', 'linkTcourl': 'https://t.co/IquYrGF2Eb', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1034118017565769728/5GJ-xceZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/552151606/1535388066', 'label': None}",2021,"Sweet Vegan Bakes has opened in Old Town, serving desserts and plant-based meals inspired by the owner's meat-free journey. https://t.co/KiX5bKfv0S https://t.co/B1KlLkfKfy"
"{'username': 'DaRealBree_', 'id': 389141283, 'displayname': 'Rude 💥', 'description': 'Mae Cora🤍 God First💛 Travel Healthcare Professional❤️ Entrepreneur💜', 'rawDescription': 'Mae Cora🤍 God First💛 Travel Healthcare Professional❤️ Entrepreneur💜', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 10, 11, 22, 50, 47, tzinfo=datetime.timezone.utc), 'followersCount': 375, 'friendsCount': 281, 'statusesCount': 11007, 'favouritesCount': 1170, 'listedCount': 0, 'mediaCount': 135, 'location': 'Chicago', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1445119194824126466/gkyS4afp_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/389141283/1602470026', 'label': None}",2021,"For the last few days, I’ve been replacing meat with plant based meat. So far so good! I haven’t had bread or pop. I’m so proud of myself!"
"{'username': 'BlockClubCHI', 'id': 552151606, 'displayname': 'Block Club Chicago', 'description': 'Reader-supported nonprofit newsroom delivering essential coverage of Chicago’s neighborhoods.', 'rawDescription': 'Reader-supported nonprofit newsroom delivering essential coverage of Chicago’s neighborhoods.', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2012, 4, 12, 20, 35, 21, tzinfo=datetime.timezone.utc), 'followersCount': 147931, 'friendsCount': 1121, 'statusesCount': 97300, 'favouritesCount': 5119, 'listedCount': 1816, 'mediaCount': 61430, 'location': 'Chicago, Illinois', 'protected': False, 'linkUrl': 'https://blockclubchicago.org/', 'linkTcourl': 'https://t.co/IquYrGF2Eb', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1034118017565769728/5GJ-xceZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/552151606/1535388066', 'label': None}",2021,"Sweet Vegan Bakes has opened in Old Town, serving desserts and plant-based meals inspired by the owner's meat-free journey. https://t.co/KiX5bKfv0S https://t.co/LVhSA3lK0a"
"{'username': 'JakeWittich', 'id': 845084689, 'displayname': 'Jake Wittich', 'description': 'Lakeview/Lincoln Park/Old Town and LGBTQ news for @BlockClubChi via @report4america. | @ChicagoNLGJA VP', 'rawDescription': 'Lakeview/Lincoln Park/Old Town and LGBTQ news for @BlockClubChi via @report4america. | @ChicagoNLGJA VP', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2012, 9, 25, 7, 48, 37, tzinfo=datetime.timezone.utc), 'followersCount': 2769, 'friendsCount': 3883, 'statusesCount': 6748, 'favouritesCount': 29069, 'listedCount': 71, 'mediaCount': 507, 'location': 'Lakeview, Chicago', 'protected': False, 'linkUrl': 'http://JakeWittich.com', 'linkTcourl': 'https://t.co/Q8rugfvxvn', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1404477376864653325/pU0gEMJE_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/845084689/1598462756', 'label': None}",2021,"Sweet Vegan Bakes Opens In Old Town, Serving Desserts, Plant-Based Meals Inspired By Owner’s Meat-Free Journey https://t.co/8ETB2S7j8g"
