date,content
2019,"@Uncle_J77 @KingAjar 1) seeds are not meant to be digested and are highly inflammatory

2) be mindful of plant-based meat substitutes. If you want to eat meat, eat meat. If you want to eat plants, eat plants. Don’t eat plants trying to be meat. Read the label. It’s not good."
2019,"why is “plant based” even a thing if they eat meat ?? like when u see “plant based” foods they’re made of plants, so why call yourself “plant based” if you’re eating meat lmao"
2019,I don't get why Burger King asks if I want cheese or bacon on my Impossible Whopper.  Uh no. There's a reason I'm eating plant based meat ya goofs.
2019,"Bold idea: Instead of harming the human digestive system that has thrived on meat for a half million years or so with a risky vegan diet, we actually teach the grey wolves to live on plant-based diets through a rigorous government-mandated retraining program? Solved. #copolitics https://t.co/hZ05SxkmcX"
2019,"Promoting plant based meats simply because there are more efficient, less costly, and ""the same as"" animal meat while completely ignoring human preference seems like a recipe for failure to me.

After all a Yugo is essentially the same as a Mercedes,  right?"
2019,@SenatorFischer Is this seriously something that we need you all to spend time on? No one is being “fooled” into buying/eating the fully sustainable plant-based “meat”. This is frivolous. You have more important things to do. https://t.co/RzgESeGxXZ
2019,Ever confused if you're buying real meat or a plant/grain-based product?  Take a look at what one senator wants to do to clarify: https://t.co/5qKxSGyDC3
2019,Petition for the plant based meat companies to make a good hot wing for me please
2019,I just realized that today is the end of my four weeks on a plant-based diet. I have definitely surprise myself. I love meat but I really haven’t missed it so far.
2019,"Wow, so impressed that @vancolour has gone from eating meat with EVERY meal, to eating a plant-based diet during the week. Way to go! I have no doubt you’ll go even further 😉 And what a great idea to have this segment @steeletalk @ericincredible @AmirsDoingItAll! https://t.co/1vYsAYAGPp"
2019,@KymFrank @AndreaHenley7 @vacajun @MarsAVIT @TVanWoeart @Kaleoiini @WVUSWG @chris_neto @Kasie_Facey @Cbmoss @AVIXAWomen @josiahway @jgreenesix @NEC_RV I’d say introduce them to #avtweeps &amp; #tweetstorm2019 &amp; that will get them drinking from the fire hose! Just do NOT introduce them to any plant based meat! #weneedmeat 🤣 https://t.co/YXNJdlzhjs
2019,"I don’t know man I’m not finna claim vegetarian or vegan, but I been eating plant based just because I don’t really enjoy cooking meat and dairy has me fucked up, but my dick been on A1 lately, coincidence?"
2019,"@CryptoRanger1 @Grimhood I’m not American but okay. And yes, I did eat very high quality meat, I have only eaten organic and free range my whole life and I caught my own fish. I found murdering animals wrong and decided to make a switch to eat plant based and I have never felt better."
2019,"Had my first beyond burger today, and I’m not going meat free any time soon, but they are a good way to cut back. 8 out of 10, will go plant based again."
2019,There’s way more at steak (see how I did that?) than just meat production. Think of all the feed (corn) that isn’t needed for plant-based burgers. And all the meat packing that isn’t needed. And. And. And. https://t.co/bLO9dskwbD
2019,"#airfrance, #deltaairlines while #thegamechangers r waking up world to reality, cruelity &amp; environmental of animal based products, sad to see not even single item on the menu without diary or meat.
Vegan tribe is increasing by leaps &amp; bounds. Include  plant based options. https://t.co/607773ZHEy"
2019,I'm tired of these restaurants tricking people into eating their plant based patties... Start tricking vegetarians into eating meat!!! Make👏🏿A👏🏿Commercial👏🏿About👏🏿That👏🏿!!!
2019,Best plant based brands/items for meat substitutes ? I’ve been craving steak 😂😂😂
2019,Recently tried the Impossible Whopper from Burger King and thought it was tasty! Definitely a great alternative for those transitioning from eating meat to eating plant-based. Curious to see how this law suit will end https://t.co/zuUHr4pL5s
2019,Wasn’t the point of the Impossible Whopper to get meat eaters to enjoy a plant-based burger? https://t.co/R5p5C6JFUB
2019,@InnocentCitzen @DoreldaDoremus @BurgerKing I shouldn't have to. It stands to reason that if Burger King is advertising a plant based burger; they shouldn't be cooking it on a meat grill.
2019,"If dude suing cause his impossible whopper touched meat juice, I’m suing cause my whopper touched plant based juice 😂"
2019,@yumyumproduceee @BurgerKing Animal products will kill you too; they inject them with so many hormones and antibiotics now and it gets into the meat. Plant based is better and no animals suffer the cruelty of factory farming. #BanFactoryFarming https://t.co/cVMbJCGXB3
2019,"@microbear1 @liluzitwerq @hoglorfen @jigglypuffgrl @dearnonnatives @Lollardfish Hi I’m a Utahn, no tribes were plant based here. Also I’m Mexican, Mayans and Aztec people still exist and definitely eat meat"
2019,"The prospect of plant based, cultured meat is so big. Even Winston Churchill couldn't wait for the day we learned how to make meat in a lab"
2019,"Just...ugh...
Arby’s makes 'meat-based vegetable' to rival plant-based meat craze https://t.co/LT71v55b57 #FoxBusiness #alternativemeat #food #why #arbys"
2019,waiting for the day we find out all these “plant based” meat replaces the fast food chains be selling are all a fraud and are really just plastic or some shit like that ... 😴
2019,KFC rolls out first plant-based fried 'chicken' with Beyond Meat – but we have no idea yet if it will come to South Africa https://t.co/EvS8utv6Gx via @BusinessInsider
2019,When the group you're with decides to go to @Applebees but you're a vegetarian. Why pay the same price for meat products and not get a plant based product replace it?
2019,"Can i just say,  this stuff is soooo flipping amazing!!!! Im on a more plant based journey and its not always easy for me.😢
.
 Ive never been a huge fan of meat but certain types of have always been my go… https://t.co/7JGv1z5Rik"
2019,"When your vegetarian daughter comes home for the weekend - plant based taco meat ❤️ Using aldiusa ground plant protein! 10 total carbs, 2 net carbs per serving. We’ll see how _jillie17 likes it 😉 #keto #ketogenic… https://t.co/5bhGYjAfN5"
2019,Tried plant based keto for a couple of weeks. Lost my travel weight but this week my morning heart rate is above 50 and I had no gas on the bike today. Not good with a race coming up. Going to go back to keto with ethically raised meat. #NSNG #LCHF
2019,"of all the things happening in the world, i can’t believe there are people who actually choose to be mad over plant based meat lol"
2019,"It’s over, folks...  “Lightlife plant-based burger.  Find us in the meat aisle.” 😕"
2019,"https://t.co/YB09nRztsE; I always like facts.  Meat is good for you and it doesn’t cause climate change.   And, plant based burgers have more calories and sodium.  Get the facts.  @CoryBooker maybe you should read this."
2019,"Going to a movie day at my dad’s house, and told my stepmom I stopped eating meat.. this lady went out of her way to go get plant based crumbles to replace the meat for lunch she’s making. 😭"
2019,"""Human desire to consume meat and animal products runs deep in cultures globally, and having an alternative that allows for an easy switch to plant-based products seems like a good thing to me.""
#Vegan #ChickenlessEgg 
https://t.co/Vn997eeZXg"
2019,"Watched @gcmovie last night on @netflix. As an athlete and someone who competes, it really makes me step back and look at my meat consumption and really look into the power that a plant-based lifestyle offers 👌🏻 #TheGameChangers"
2019,"@agronomistag @DerrickJosi @macfoggald_alan @muddymuddymum I would argue our main diet should be based on meat and that any local system that feeds ruminants, recycles nutrients and improves the soil is optimal, plants for human consumption are for supplement only and many should be perennial ie nuts berries. Beef and cheese for me💪🥩"
2019,"As Advertised Beyond Meat Plant Based Sausage - Original or Hot, 14 oz $7.99 or Beyond Meat Plant Based Burger Patties 8 oz $5.19 Available at a Tamura’s near you! Pricing valid now thru Oct 22.
📷 credit:… https://t.co/dTlyzsRnFa"
2019,Hotels gotta start cooking plant based meat as an option for breakfast in 2020.
2019,“Think Beyond what you thought a burger could be.” Beyond Burger plant based products at #612kitchenandcocktails. Beyond “meat” served on a bun with chipotle ranch. Choice of chips or fries. #beyondburger #plantbased #meatless https://t.co/KDyzzi1kNM
2019,@svbgusmaker Sometimes I wonder what it’s all for. We’re busting our ass piling feed for bovines. Wouldn’t it just be easier to walk outside and pee on your plant based meat?
2019,"you literally can make plant based “meat” taste the same way as real meat taste if you season it correctly! nobody is out here eating raw, unseasoned meat &amp; if you are, pls dm me so i can give you my therapist’s contact info."
2019,I’ve been trying for years to get my family to at least consider making one or two meals plant based or vegetarian. We are now on day three of meat free and this makes my heart happy.
2019,A delicious breakfast sandwich with plant based meat. Very rich and satisfying. #delicious #breakfast #breakfastistheway #incredibleedibleegg  #veggie #vegetarian #cooking #breakfastwithfriends #coffee #sundayfunday… https://t.co/U5IdRw0t7q
2019,Nestlé's Awesome Burger is the company's answer to the plant-based meat craze - CNN https://t.co/fuMfCxBuXW
2019,"At last!
Impossible Foods’ plant-based “meat” is coming to 102 more stores https://t.co/48EEQvMvNH"
2019,The evil side me watching all these new beyond meat plant based substitutes makes me think of ......ha ha ha!  7.3 % of people who watched Soylent Green get the joke 😬 https://t.co/i5bQp1vlru
2019,"3 weeks on a plant based diet 🌎🍃😊 21 days no meat, no dairy, and I’m feelin AMAZING. 🙌🏼"
2019,@helloamygarner @TomSteyer Unicorns and pixie dust if you think you're going to get people to stop eating meat. You can't force people to do something against their will. That's fascism &amp; that's the road you're going down. Plant-based food processed into a meat product is horrible for you.
2019,"@Alyssa_Milano If #climatechange won't make you reduce your meat consumption then maybe this will. You should check out your supermarket meat freezers today, suddenly plant based meats such as Beyond Meats, Impossible Foods and more are now readily available. Give 'em a try!"
2019,I tried the Impossible Whopper From Burger King #limitedtime #burgerking #burger #pseudovegan #impossiblewhopper #impossibleburger #plantbased #plantbasedmeat #cool #good #amazing #awesome #rad #delicious #cheese… https://t.co/9Mo8DrIYEV
2019,Just overheard two people at the gas station talking about how “plant based meat can’t possibly be healthy” while buying cigarettes.
2019,"We are BEYOND excited to now be offering plant-based foods at our LifeCafe concession stand in Section 104!

Beyond Burgers and Beyond Bratwurst are now available for our meat-free fans!
#GetUp #Lynx #WNBA #PlantBased https://t.co/OsN3IuhKNQ"
2019,I’m confused... is this plant based cat meat? 🥴🙀 https://t.co/Kb4E9RYz7X
2019,"Processed food, even if labeled Plant based, organic or Paleo—are still processed foods. Whole Foods CEO says plant-based 'meat' is unhealthy https://t.co/1FnVdZIbnz #realfood"
2019,@Cyberjjj I say we keep it like god made it to be. Meat is meat and plants are plants. Can’t have plant based meat because meat is only made of animals! You can have a veggie patty but don’t call it meat!
2019,"KFC to sell plant-based fried 'chicken' with Beyond meat https://t.co/fa2m2fQimZ via @nypost , yo you have a got a chicken look like a chicken head and your box of chicken from KFC haha."
2019,"@CelieKnudsen @queenanyanuttz @Arrianna_Planey It literally won’t be feasible to not eat a plant based diet because of how climate change is going to effect the agricultural industry and how meat prices are going to rise beyond what the average person can afford, especially the poorest people which are disproportionately POC."
