date,content
2021,"Next month, McDonald’s will test the plant-based McPlant burger, developed with Beyond Meat, for a limited time in eight select restaurants across the U.S. https://t.co/QvyMsACXgj"
2021,"The idea of eating anything that resembles meat sickens me, but today, for some reason I ordered a vegan pizza with plant based sausage. Wtf. I can't party this hard. https://t.co/f2VzslJJvr"
2021,"Success is progress not perfection. Can't fully give up meat? Slowly reduce. Every meatless / dairyless / eggless meal is progress. Eat fewer burgers and more beans. You can do this! The greater the change, the greater the health benefit #WFPB #CPBNM"
2021,"@honeygirl1978 @Cynthia_Slate @RobRobbEdwards get over it, people got to eat. you go graze in the grass and leave us meat eaters alone. they say- drs and scientists- if you only eat plant based foods, it destroys brain function among other things. no joke, you think its the right thing but its actually hurting your mind read"
2021,“international freight transport and aviation cannot continue to grow at current rates...dairy and meat should make way for largely plant-based diets...suggest replacing concrete and steel buildings with “a return to the use of long-lasting wood buildings.”  The UN.
2021,“international freight transport and aviation cannot continue to grow at current rates...dairy and meat should make way for largely plant-based diets...suggest replacing concrete and steel buildings with “a return to the use of long-lasting wood buildings.”
2021,"Rainy days call for our wood fired LAHMACUN! This bad boy will warm you up real quick. Choose between SPICY BEEF, CAULIFLOWER OR PLANT BASED “MEAT”.
The dining room is set and we are looking forward feeding you all!
✨ONLINE ORDERING IS LIVE✨ https://t.co/N5o58DWuXf"
2021,"Some real talk about plant-based burgers: I grew up poor, so I’m highly sensitive to the taste of meat replacements because that’s what we ate as burgers. This one tastes like those cardboard patties from my youth that used to freeze together in the nondescript box. https://t.co/GAg26Axwyz"
2021,#hashtag1 Plant Based Meat: Benefits and Techniques In 2021 https://t.co/a1JaK036WH https://t.co/J1UBe4Evht
2021,"According to this @Harvard study, if everyone were to give up meat, one-third of early deaths could be prevented https://t.co/CrHexClaWv #WFPB #CPBNM #Vegan"
2021,"@JoeKerr57254356 @OH_lindzbreezy @TMZ Nope, it’s the bullpen! And I’ll stick with eating meat for multiple positive health reasons.  Bill Gates can take his synthetic or plant based meat and rocket off the planet!"
2021,".I choose NO to Bill Gates &amp; “plant based meat”
☠️☠️☠️☠️☠️ https://t.co/Y7jtsEGNFB"
